"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Gm36264",2.07028647998332e-17,-3.27801861576221,0.016,0.102,3.6728952441384e-13,"aEC"
"Gm35769",1.55528142488999e-12,-1.99898359282303,0.035,0.114,2.75922477589734e-08,"aEC"
"1700025G04Rik",1.40922504637463e-10,-1.93380594604532,0.034,0.104,2.50010615477323e-06,"aEC"
"Islr2",8.00015650347659e-29,1.7025865289266,0.295,0.117,1.41930776528178e-24,"aEC"
"AC154200.1",5.37461835677786e-11,-1.59775715755463,0.051,0.13,9.5351104267596e-07,"aEC"
"Cited4",6.31057508816058e-11,1.56370654466392,0.108,0.038,1.11955912639057e-06,"aEC"
"Egr3",5.74878568214458e-09,-1.41394821783346,0.037,0.1,0.0001019892067869,"aEC"
"Epb41l4a",2.49156666976736e-14,-1.28244028125674,0.131,0.252,4.42028842883427e-10,"aEC"
"Emp1",4.11225767131324e-09,-1.23975545738316,0.107,0.191,7.29555633467682e-05,"aEC"
"Amd2",5.00305478380864e-09,-1.10455693358881,0.089,0.169,8.87591949195492e-05,"aEC"
"Nup210l",7.9323801952297e-07,-1.0857683577856,0.059,0.118,0.014072835704357,"aEC"
"Adamts9",1.45921253789677e-06,-1.06951287620299,0.08,0.144,0.0258878896348265,"aEC"
"Slc25a33",8.00489428730532e-10,1.02332126759175,0.242,0.145,1.42014829551084e-05,"aEC"
"Sox4",2.36366261665623e-07,-1.02252720751287,0.066,0.132,0.0041933738482098,"aEC"
"Mcam",2.476345867415e-06,-0.988617035566318,0.095,0.158,0.0439328520338095,"aEC"
"Gstp1",1.00660746654631e-07,0.976900984978502,0.149,0.079,0.0017858223063998,"aEC"
"P2ry2",2.68978433226039e-07,-0.950132484137053,0.062,0.125,0.0047719463838631,"aEC"
"Tnik",9.79541561729466e-09,0.949155821776697,0.182,0.1,0.0001737804684664,"aEC"
"Cdh13",2.11333351896187e-19,-0.920971571910975,0.259,0.434,3.74926499599026e-15,"aEC"
"S100a6",9.68299488117988e-08,-0.86542270515518,0.108,0.188,0.0017178601218701,"aEC"
"Nos1",4.21165658490698e-09,-0.848871742560124,0.134,0.229,7.47189994728347e-05,"aEC"
"Cxxc5",7.77335284525361e-07,-0.843266275863974,0.106,0.177,0.0137907052827644,"aEC"
"Nr4a2",7.092293045536e-11,-0.838924428035073,0.268,0.383,1.25824370920854e-06,"aEC"
"Nuak1",1.32887775042437e-08,-0.823262153910134,0.196,0.285,0.0002357562017027,"aEC"
"Ecm2",4.02801052666893e-07,-0.821216237640797,0.191,0.268,0.0071460934753633,"aEC"
"Sema6d",2.0396973438029e-10,-0.82052740605619,0.185,0.296,3.61862705764073e-06,"aEC"
"Gask1b",7.29425994540275e-09,-0.804160415423743,0.155,0.251,0.0001294074656913,"aEC"
"Ism1",1.34461339851927e-07,0.78907921005298,0.208,0.128,0.002385478630313,"aEC"
"Gper1",1.00462137664231e-09,-0.771492283723464,0.245,0.355,1.78229878430113e-05,"aEC"
"Kctd12b",1.05105409516431e-13,-0.761663545349831,0.281,0.419,1.864675070231e-09,"aEC"
"Gja4",1.49814598853055e-07,-0.701465529942533,0.145,0.226,0.002657860798252,"aEC"
"Tspan2",4.25504955883381e-08,-0.700107750937916,0.199,0.292,0.0007548883422327,"aEC"
"Ldb2",4.93629487072479e-08,-0.676459005265393,0.173,0.264,0.0008757480730152,"aEC"
"Sh3kbp1",3.13421783128072e-07,-0.67541500237392,0.248,0.332,0.0055604158544751,"aEC"
"Plpp1",7.20900825862394e-12,-0.670381266266741,0.44,0.542,1.27895015516247e-07,"aEC"
"Ets2",5.90675213075931e-08,-0.65117572447776,0.413,0.492,0.001047916895518,"aEC"
"Fbln2",6.10430309534539e-11,-0.648682088225288,0.415,0.539,1.08296441214523e-06,"aEC"
"Arhgap10",3.07459535112393e-11,0.636189218368063,0.377,0.245,5.45463961242897e-07,"aEC"
"Fgd6",2.65794526154625e-07,-0.634962330665185,0.24,0.33,0.0047154606885092,"aEC"
"Apba1",2.03914078682344e-08,-0.629904130433244,0.355,0.451,0.0003617639669903,"aEC"
"Ccnd2",1.82837325044218e-12,-0.624662159192387,0.472,0.583,3.24371698360947e-08,"aEC"
"Slc22a8",7.68178022492683e-13,0.591880533026261,0.524,0.381,1.36282462970427e-08,"aEC"
"Tnfaip8",7.86906313632261e-08,-0.58651989774879,0.305,0.405,0.0013960504910149,"aEC"
"Amd1",1.81488647148628e-21,-0.566584086143004,0.652,0.784,3.21979008906381e-17,"aEC"
"Lrrc32",2.53941693562308e-06,-0.552760673908957,0.168,0.243,0.045051795854889,"aEC"
"2610507B11Rik",1.5383082583166e-06,-0.54177741497369,0.313,0.39,0.0272911268107948,"aEC"
"Erh",1.79401710423019e-08,0.535056287516995,0.332,0.224,0.0003182765744614,"aEC"
"Mrpl23",1.99354256526939e-07,0.506035695983498,0.354,0.247,0.0035367438650444,"aEC"
"Bhlhe40",4.85386588712441e-07,-0.501950203504805,0.38,0.472,0.0086112434703474,"aEC"
"Nedd9",7.24001204720617e-08,-0.494213524680744,0.435,0.512,0.0012844505372948,"aEC"
"Bex3",9.73746933354919e-07,0.484774414261712,0.437,0.339,0.0172752443446496,"aEC"
"Trim24",7.93328243275835e-07,-0.470631381571805,0.398,0.48,0.0140744363639566,"aEC"
"Wdr45b",1.67446107634187e-07,-0.465293433937577,0.283,0.378,0.0029706613955381,"aEC"
"Cdk19",1.95237502342432e-19,-0.446068111476993,0.879,0.933,3.46370852905709e-15,"aEC"
"Brd2",9.70922799969169e-07,-0.438195401653449,0.455,0.532,0.017225141394253,"aEC"
"Aamdc",1.60294023498896e-06,0.436471624802451,0.355,0.259,0.0284377627089392,"aEC"
"Pam16",1.57808461652725e-06,0.432896893247186,0.351,0.255,0.02799679918181,"aEC"
"Nde1",9.65600772043232e-07,0.42789011099465,0.54,0.448,0.017130723296819,"aEC"
"Azin1",2.62889077862428e-07,-0.426370488250418,0.433,0.51,0.0046639151303573,"aEC"
