"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Coro2a",1.52736264571866e-26,-2.09642931971466,0.046,0.166,2.70969406976948e-22,"vcapEC"
"P2ry1",1.11310954555835e-16,-1.65417148757004,0.034,0.114,1.97476764477508e-12,"vcapEC"
"Retreg1",1.14041120319452e-15,1.53554580139241,0.167,0.071,2.0232035155874e-11,"vcapEC"
"Cutal",3.51737503258944e-16,-1.45607703176658,0.05,0.139,6.24017504531693e-12,"vcapEC"
"Ptprd",3.55055466146571e-19,-1.4552297746098,0.086,0.202,6.29903902490632e-15,"vcapEC"
"Cpq",7.05276282533562e-19,-1.30030397551904,0.09,0.207,1.25123065284279e-14,"vcapEC"
"Hdac9",6.56650999262522e-31,1.28002983439169,0.337,0.156,1.16496453779164e-26,"vcapEC"
"Htra3",9.01162877166348e-08,1.26368904101834,0.102,0.05,0.0015987530603808,"vcapEC"
"Irx3",1.64672767480855e-09,1.24768314424448,0.115,0.053,2.92145956787784e-05,"vcapEC"
"Adm",3.71866561354021e-08,1.20745392328402,0.132,0.071,0.0006597284664981,"vcapEC"
"Agmo",3.82092580137347e-10,-1.12589294920624,0.074,0.147,6.77870446421667e-06,"vcapEC"
"Lrmda",1.03087721176407e-08,-1.12503281104542,0.076,0.141,0.000182887926139,"vcapEC"
"Cdk14",2.54681912297609e-21,-1.07251740993698,0.182,0.33,4.51831180607189e-17,"vcapEC"
"Gulp1",2.09300966701677e-31,-1.01702485257574,0.292,0.495,3.71320845025446e-27,"vcapEC"
"Gm609",1.3795592789977e-10,-0.998047199852334,0.09,0.168,2.44747611686981e-06,"vcapEC"
"Gm47167",1.32609755891781e-06,-0.99615115051393,0.058,0.108,0.0235262967927609,"vcapEC"
"Cables1",5.84940632138126e-07,0.995471526271297,0.121,0.068,0.0103774317547625,"vcapEC"
"Eps8l2",2.04678312367648e-16,-0.994661935466388,0.141,0.263,3.63119793971444e-12,"vcapEC"
"C530008M17Rik",2.4499097093228e-07,-0.963321511699894,0.054,0.107,0.0043463848153095,"vcapEC"
"Trerf1",1.67194315328353e-06,-0.952150711248699,0.082,0.136,0.0296619434824031,"vcapEC"
"Egflam",7.65035098035354e-08,-0.94834094072166,0.111,0.18,0.0013572487674245,"vcapEC"
