"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Ackr1",3.04626340530487e-16,-4.57046842688437,0.011,0.123,5.40437590735137e-12,"vEC"
"Ifitm1",8.58112575742016e-23,-4.21797976136279,0.027,0.201,1.52237752062391e-18,"vEC"
"Rgs16",2.03874114918022e-25,-3.89772580985959,0.011,0.176,3.61693067276062e-21,"vEC"
"Atp8b1",1.158111370672e-18,-3.73519740518911,0.01,0.134,2.05460538270919e-14,"vEC"
"Ptgs2",2.2469622046771e-55,-3.50779801000737,0.076,0.486,3.98633564731764e-51,"vEC"
"Lcn2",9.72256601670414e-49,-3.47930284229578,0.078,0.461,1.72488043702348e-44,"vEC"
"Spsb1",8.59250929937847e-10,3.41452808189795,0.142,0.011,1.52439707480273e-05,"vEC"
"Plekho1",5.63372145731969e-27,-3.34224366769132,0.03,0.236,9.99478523743087e-23,"vEC"
"Lrg1",2.57479392243274e-44,-3.23404062421911,0.053,0.391,4.56794189778792e-40,"vEC"
"Casp4",8.3479008271444e-33,-3.21611551373539,0.03,0.271,1.48100108574369e-28,"vEC"
"Bst1",2.757197828244e-17,-3.15020130831061,0.015,0.141,4.89154466708769e-13,"vEC"
"Gm5127",7.49038361641758e-80,-3.13851210949513,0.165,0.743,1.32886895738864e-75,"vEC"
"Cysltr1",2.76476507281798e-43,-3.05043815708597,0.103,0.472,4.90496971568639e-39,"vEC"
"Ch25h",1.4575071982244e-39,-2.9955639207737,0.049,0.356,2.5857635203699e-35,"vEC"
"Ppfia2",1.97820904077487e-17,-2.98396176808038,0.022,0.158,3.50954065923871e-13,"vEC"
"Gm46563",4.78174175757115e-11,-2.90525111814687,0.015,0.102,8.48328805210698e-07,"vEC"
"Ptgs2os",1.72615007249569e-14,-2.72170882238211,0.022,0.141,3.06236284361461e-10,"vEC"
"Ccl19",5.9484255677567e-09,-2.56933849323955,0.023,0.106,0.0001055310179975,"vEC"
"Emp3",7.62738410614348e-12,-2.5670521695929,0.048,0.176,1.35317421427091e-07,"vEC"
"Cyp2e1",6.73451564793695e-12,-2.34927235017757,0.053,0.187,1.1947704211005e-07,"vEC"
"Nkd2",3.73852394151921e-18,-2.31299225179972,0.061,0.246,6.63251532464924e-14,"vEC"
"Fxyd6",6.50441986735407e-16,-2.2481237043632,0.081,0.264,1.15394912866728e-11,"vEC"
"Socs3",5.66686221518744e-10,-2.1690973587619,0.063,0.187,1.0053580255964e-05,"vEC"
"Spint2",1.01140149967074e-09,-2.16683764096548,0.022,0.109,1.79432740056585e-05,"vEC"
"Adgrg6",7.07448040430802e-24,-2.14946868066317,0.066,0.299,1.25508356852829e-19,"vEC"
"Arhgap20",1.63997578299146e-09,-2.14298846542088,0.038,0.141,2.90948103660514e-05,"vEC"
"Lcp1",3.13818297990915e-12,-2.13106435324773,0.057,0.197,5.56745042465682e-08,"vEC"
"1810073O08Rik",9.86311455191622e-08,-2.06536145836574,0.034,0.12,0.0017498151526554,"vEC"
"Lhx6",9.09444331058338e-11,-2.06371115421791,0.044,0.162,1.6134451877306e-06,"vEC"
"Gmpr",1.64472052292219e-07,-2.00305990770226,0.046,0.137,0.0029178986797162,"vEC"
"Gm14164",3.45542598095336e-09,-1.94228585407735,0.047,0.155,6.13027123280936e-05,"vEC"
