"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Litaf",1.99529224579811e-28,1.64132634969432,0.16,0.073,3.64380269927652e-24,"capEC"
"Plpp3",4.54225542974521e-22,1.60989052333779,0.128,0.058,8.2950668658007e-18,"capEC"
"Dync1i1",5.90669042694033e-19,1.48759905793937,0.109,0.049,1.07867980576784e-14,"capEC"
"Sbno2",8.13131501066131e-23,1.36015009241569,0.189,0.106,1.48494074724697e-18,"capEC"
"Vwa3a",3.96595725600333e-24,-1.31849203176018,0.038,0.108,7.24263114091328e-20,"capEC"
"Tsix",4.90574701540324e-14,1.20428085708851,0.134,0.077,8.95887519952939e-10,"capEC"
"Cd93",1.04218889434502e-74,1.1644880869791,0.639,0.527,1.90324535885287e-70,"capEC"
"Fosl2",5.43055652525633e-16,1.16416733367286,0.135,0.074,9.91728232642311e-12,"capEC"
"Cerk",7.50442330525928e-14,1.15549361828777,0.124,0.07,1.37045778400645e-09,"capEC"
"Ifit3",2.59426916169223e-25,-1.15420619867202,0.109,0.209,4.73765434308235e-21,"capEC"
"Slc4a7",5.5321882254028e-14,1.15357387316601,0.122,0.067,1.01028821372306e-09,"capEC"
"Ifit3b",5.12547047085287e-14,-1.15124119613175,0.052,0.105,9.3601341738715e-10,"capEC"
"Gm11290",5.98409753195976e-13,-1.14087630373543,0.051,0.1,1.09281589128649e-08,"capEC"
"St7",4.3248803330206e-09,1.12232233149366,0.119,0.075,7.89809646416222e-05,"capEC"
"Serpine2",1.39363089781675e-16,-1.01828588298227,0.044,0.102,2.54504874559295e-12,"capEC"
"Slc23a2",3.15696843698319e-10,1.00541785123629,0.156,0.105,5.76525575961871e-06,"capEC"
"C2cd5",6.29072744079136e-07,0.971248151849447,0.108,0.073,0.0114881264523732,"capEC"
"Cdyl2",1.99436613148655e-08,0.939269927525508,0.155,0.111,0.000364211142932,"capEC"
"Dot1l",3.18612845240491e-09,0.936330000295252,0.126,0.082,5.81850777978184e-05,"capEC"
"Scnm1",2.98690713710792e-19,-0.889905102171595,0.063,0.135,5.45468981378648e-15,"capEC"
"Endod1",1.13059122440317e-10,0.889202128432833,0.191,0.136,2.06468569400507e-06,"capEC"
"Ifit1",1.87910187536524e-25,-0.888429653209133,0.178,0.294,3.431615844792e-21,"capEC"
"Pkn3",2.2566441845264e-09,0.879146271907868,0.12,0.075,4.12108360978212e-05,"capEC"
"Kdm6b",8.92653897312681e-07,0.869219550121643,0.157,0.117,0.0163016454727242,"capEC"
"Plec",2.39583987851897e-37,0.851259904514132,0.514,0.416,4.37528278615134e-33,"capEC"
"Txnrd1",2.84341229325942e-11,0.846236808727015,0.185,0.128,5.19263952995036e-07,"capEC"
"Ibtk",3.96068820728204e-07,0.81904521547367,0.119,0.081,0.0072330088041384,"capEC"
"Yeats2",2.86995779492548e-07,0.812391501724476,0.153,0.113,0.0052411169250929,"capEC"
"Spns1",6.68523849231764e-14,-0.80220184404497,0.047,0.1,1.22085825346705e-09,"capEC"
"Atp13a3",2.43450115836498e-06,0.799114578959749,0.159,0.121,0.0444588601540612,"capEC"
"Arhgef7",4.26526479740245e-10,0.784926373312999,0.219,0.163,7.78922657301636e-06,"capEC"
"Casp6",1.82378593222203e-22,-0.775287285689091,0.093,0.185,3.33059786942386e-18,"capEC"
"Notum",6.85219661113821e-45,-0.764049817479306,0.173,0.349,1.25134814512606e-40,"capEC"
"Uggt1",2.15274315341062e-10,0.754768781987477,0.203,0.147,3.93133954675848e-06,"capEC"
"Cmpk2",4.42028217030281e-17,-0.726020106560534,0.091,0.167,8.07231929940699e-13,"capEC"
"Pim1",7.75436894261695e-22,-0.722365854468213,0.103,0.197,1.41610285630071e-17,"capEC"
"Shroom1",1.34442901621722e-23,-0.720477828621261,0.113,0.214,2.45519626941589e-19,"capEC"
"Smarcc1",7.44919253454978e-07,0.713344032046602,0.192,0.151,0.0136037154065948,"capEC"
"Ago2",8.34211608485617e-09,0.71283826511127,0.22,0.17,0.0001523437239416,"capEC"
"Uhmk1",3.69869392073099e-07,0.711050179690378,0.185,0.143,0.0067545548380389,"capEC"
"Crlf2",9.45468744486649e-08,0.71036974855794,0.182,0.137,0.0017266150211815,"capEC"
"Ilf3",1.64901329099447e-07,0.708996970367309,0.144,0.102,0.0030114280720141,"capEC"
"Man1c1",1.18941818601103e-06,0.708432905906575,0.133,0.095,0.0217211549129334,"capEC"
"Gimap9",1.96967011294711e-06,0.685874723695304,0.141,0.103,0.0359701156026402,"capEC"
"Atp6v0a2",3.80200189160495e-07,0.678906545295378,0.181,0.138,0.0069432158544489,"capEC"
"2610507B11Rik",3.09202410268423e-09,0.676675584756002,0.259,0.206,5.64665441632194e-05,"capEC"
"Mybbp1a",9.42598904236235e-09,0.675926813167791,0.174,0.125,0.0001721374118916,"capEC"
"Tcerg1",4.17877178500535e-10,0.675899699193003,0.238,0.181,7.63127303377677e-06,"capEC"
"9330175M20Rik",8.4473571065127e-18,-0.665833663122195,0.085,0.162,1.54265635479135e-13,"capEC"
"Vgll4",6.00555425547331e-10,0.66179528924609,0.332,0.283,1.09673431813454e-05,"capEC"
"Edn3",3.19780636961545e-12,-0.657364101459857,0.084,0.143,5.83983399219174e-08,"capEC"
"Pmaip1",1.48131757548507e-10,-0.656787997671767,0.08,0.133,2.70518215635083e-06,"capEC"
"Fyn",1.22116763870273e-09,0.654162906086453,0.293,0.238,2.23009634179892e-05,"capEC"
"Slc22a8",1.10585594630191e-82,-0.648130692640784,0.5,0.765,2.01951412913655e-78,"capEC"
"Msl3",5.23301141773069e-15,-0.647512223843987,0.112,0.186,9.55652545105979e-11,"capEC"
"Nme1",1.09044956557968e-09,0.642566315743685,0.307,0.253,1.99137899666161e-05,"capEC"
"Nhsl2",4.81175757111052e-09,0.631180093120765,0.29,0.24,8.78723167636203e-05,"capEC"
"Mmrn2",6.83570066396933e-15,0.631032341858847,0.416,0.356,1.24833565525408e-10,"capEC"
"Reep1",5.58737855429921e-07,0.629408649893534,0.215,0.171,0.0102036707158612,"capEC"
"Cbwd1",1.31348317180652e-15,-0.627830445385734,0.079,0.148,2.39868296835307e-11,"capEC"
"Ackr3",7.23379919146513e-30,-0.627617889175012,0.176,0.314,1.32103640834536e-25,"capEC"
"Ddc",8.94679566315324e-63,-0.624785677328522,0.379,0.625,1.63386382400505e-58,"capEC"
"Mkrn1",6.66115455681012e-25,-0.619788175771045,0.138,0.252,1.21646004516466e-20,"capEC"
"Thap3",2.7421615162173e-21,-0.612040239467229,0.152,0.256,5.00773536091603e-17,"capEC"
"Tmc7",2.3348625237217e-32,-0.60928641447016,0.224,0.376,4.26392594082057e-28,"capEC"
"Bnip3",7.94404938592823e-25,-0.608052617047976,0.164,0.287,1.45074229885821e-20,"capEC"
"Xpo1",3.55214250726385e-07,0.606425653434867,0.25,0.207,0.0064869226467652,"capEC"
"Gm8098",7.75472437633533e-14,-0.606237057609817,0.07,0.132,1.41616776560636e-09,"capEC"
"Mtrf1l",6.27327528306773e-16,-0.601002565726221,0.082,0.153,1.14562553219383e-11,"capEC"
"Per1",1.83713217750366e-14,-0.596659562744998,0.102,0.173,3.35497078255718e-10,"capEC"
"2810013P06Rik",2.82996783116735e-15,-0.595863364875997,0.114,0.192,5.16808725327782e-11,"capEC"
"Prpf8",6.98166825617165e-07,0.595112564346699,0.28,0.24,0.0127499225694207,"capEC"
"Ccng2",9.35146699538515e-11,-0.593409343629065,0.057,0.105,1.70776490269724e-06,"capEC"
"Hsd17b12",5.69328080402037e-08,0.592528058578238,0.275,0.226,0.0010397069404302,"capEC"
"Sept4",5.6790597124854e-26,-0.589807205135255,0.191,0.319,1.03710988469408e-21,"capEC"
"Spata1",7.41070465845092e-12,-0.584789986208122,0.078,0.135,1.35334288472631e-07,"capEC"
"Snx16",2.56892774232404e-10,-0.583815856296281,0.058,0.104,4.69137584303216e-06,"capEC"
"4430402I18Rik",4.19901434914953e-19,-0.582110373490256,0.141,0.238,7.66824000441687e-15,"capEC"
"Iigp1",3.95690026810017e-16,-0.564825378614193,0.182,0.277,7.22609126960454e-12,"capEC"
"Dpysl2",2.71085782852999e-31,-0.562392355229903,0.244,0.399,4.95056856646148e-27,"capEC"
"4921511C10Rik",3.41465010553296e-16,-0.545800380687564,0.124,0.208,6.2358340227243e-12,"capEC"
"Usp18",5.80967614767127e-14,-0.544252477106873,0.134,0.212,1.06096305808773e-09,"capEC"
"Ezh2",1.52090597666555e-10,-0.543211446016272,0.145,0.212,2.77747849458663e-06,"capEC"
"Rusc1",9.38421265254516e-09,-0.539985056141975,0.072,0.118,0.0001713744914607,"capEC"
"Cables1",4.92762909430279e-09,-0.537526401131102,0.062,0.106,8.99883625201576e-05,"capEC"
"Akt1s1",3.2033531166564e-10,-0.535413832073477,0.066,0.114,5.84996346163792e-06,"capEC"
"Tcf3",9.33396840759719e-14,-0.530097137966579,0.129,0.205,1.7045693105954e-09,"capEC"
"Pelo",3.61712353964983e-12,-0.528648461891641,0.067,0.123,6.60559100810852e-08,"capEC"
"Gipc1",2.6554082741743e-07,-0.52689658493577,0.075,0.115,0.0048493065902971,"capEC"
"Spock2",6.26375394097538e-138,-0.525651977988306,0.919,0.989,1.14388674470092e-133,"capEC"
"Ttyh2",5.21818661376657e-27,-0.523938145474768,0.215,0.355,9.52945239406051e-23,"capEC"
"Vps26c",7.87304650589216e-09,-0.520892225868355,0.067,0.111,0.0001437775752906,"capEC"
"Piezo1",2.62702387867901e-06,0.518981196938902,0.325,0.291,0.0479747100724362,"capEC"
"Pnpla2",5.84594817118121e-30,-0.518252523743195,0.248,0.404,1.06758705502111e-25,"capEC"
"Gm48226",1.33055531977566e-09,-0.5181207769404,0.076,0.126,2.42986012497431e-05,"capEC"
"Ccdc71l",1.64346417841466e-11,-0.517199910819289,0.075,0.13,3.00129428262086e-07,"capEC"
"Ormdl3",6.56077724986025e-16,-0.516869158300385,0.116,0.198,1.19812914136948e-11,"capEC"
"Hcn2",1.75423959749069e-11,-0.511601558410821,0.055,0.104,3.2035923529375e-07,"capEC"
"Zfp106",7.23548120897791e-07,0.505658625044741,0.333,0.294,0.0132134357838355,"capEC"
"Ttc33",4.49319190090475e-10,-0.501726747455122,0.092,0.146,8.20546704943226e-06,"capEC"
"Chchd7",1.23271398786695e-09,-0.501726565304457,0.101,0.155,2.25118228464262e-05,"capEC"
"Ptpn12",6.95335957178031e-08,0.498235764564218,0.479,0.472,0.0012698225249985,"capEC"
