"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Vtn",9.97856355307727e-19,3.51312157055013,0.121,0.034,1.82228527606297e-14,"vcapEC"
"Nsg1",2.69898319423326e-33,-2.46700835522244,0.028,0.149,4.92888310930878e-29,"vcapEC"
"Cacna1e",5.78978025808618e-23,2.33718347315109,0.175,0.06,1.0573296707317e-18,"vcapEC"
"Gm38304",6.41962369581451e-16,2.27489603173049,0.11,0.033,1.17235167932965e-11,"vcapEC"
"B630019A10Rik",9.44220762949975e-24,1.9677476677851,0.195,0.072,1.72433595729924e-19,"vcapEC"
"Ltc4s",3.36908185337784e-19,-1.84711238514873,0.038,0.126,6.15261728063861e-15,"vcapEC"
"Mecomos",4.19237089858993e-12,1.83590505469272,0.103,0.038,7.65610773500492e-08,"vcapEC"
"Disp1",5.82148630757526e-16,1.73489149897851,0.131,0.046,1.06311982948939e-11,"vcapEC"
"Cald1",1.14273960267266e-24,1.73139138514337,0.364,0.22,2.0868710624008e-20,"vcapEC"
"Kdm5d",5.42743122142546e-11,1.72325343047429,0.1,0.039,9.91157489656718e-07,"vcapEC"
"Alms1",2.40408493309666e-08,1.70494720561685,0.106,0.053,0.0004390339904821,"vcapEC"
"4931422A03Rik",9.05489137766962e-09,1.44341803322378,0.1,0.046,0.000165360426339,"vcapEC"
"P2ry1",2.73665840902506e-15,-1.42492012929989,0.039,0.114,4.99768558656156e-11,"vcapEC"
"Gm32036",5.87598981005533e-08,1.41399806078223,0.102,0.05,0.0010730732591123,"vcapEC"
"Lclat1",3.02671885127733e-08,1.38221337909663,0.103,0.05,0.0005527393966202,"vcapEC"
"Casc4",2.59828258428083e-07,1.36100429754108,0.109,0.058,0.0047449836554136,"vcapEC"
"Phpt1",4.83183322125863e-14,-1.35950888481002,0.043,0.117,8.82389382866251e-10,"vcapEC"
"Arhgap6",1.85915621663265e-06,1.35441081364839,0.124,0.074,0.0339519108281454,"vcapEC"
"Tbc1d16",2.43619712489992e-09,1.33341976564169,0.105,0.047,4.44898318949224e-05,"vcapEC"
"Lancl3",6.49142708062367e-11,1.32432813519595,0.178,0.099,1.1854644134635e-06,"vcapEC"
"Zfp369",8.68854144536975e-07,1.31412174503643,0.101,0.054,0.0158670143875342,"vcapEC"
"Wnt5a",5.24499405845752e-47,-1.30534431456381,0.153,0.387,9.57840814955512e-43,"vcapEC"
"Gab3",2.11220098241421e-06,1.30105936831626,0.1,0.055,0.0385730143408483,"vcapEC"
"Tradd",1.7977525380668e-13,-1.30090692220801,0.043,0.115,3.28305568501759e-09,"vcapEC"
"Cyb561",3.84583770909482e-17,-1.27546690988911,0.059,0.154,7.02326882434897e-13,"vcapEC"
"Socs7",2.44210263678223e-07,1.25849819427034,0.121,0.068,0.0044597678352917,"vcapEC"
"Tmem176a",9.508156300984e-16,-1.23882492172823,0.044,0.125,1.7363795036857e-11,"vcapEC"
"Zbtb37",1.96131318422435e-07,1.21652845209291,0.114,0.062,0.0035817501370305,"vcapEC"
"Ppip5k1",1.69971326436743e-06,1.21077802192513,0.11,0.062,0.0310401636338779,"vcapEC"
"Cfh",1.11685231271354e-91,-1.20308465084629,0.344,0.72,2.03959569347746e-87,"vcapEC"
"H2afx",1.4911352053303e-12,-1.19950152064002,0.045,0.114,2.72311111197419e-08,"vcapEC"
"A730081D07Rik",6.42591051233093e-09,1.18649194612346,0.164,0.096,0.0001173499777761,"vcapEC"
"Fam13a",3.50708715418788e-17,1.16887534975017,0.354,0.238,6.40464256097791e-13,"vcapEC"
"Colca2",1.70839626168157e-10,-1.16128307804023,0.054,0.12,3.11987325308288e-06,"vcapEC"
"Neo1",5.33898123235887e-10,1.15897653376831,0.191,0.114,9.75004752653378e-06,"vcapEC"
"Mmd",3.31977584825732e-14,1.15746029501177,0.239,0.137,6.06257465408751e-10,"vcapEC"
"Lrrc8d",2.69201379927868e-07,1.14982624925945,0.133,0.077,0.0049161556002427,"vcapEC"
"Utp14b",3.2162656019283e-08,1.14444290512484,0.138,0.077,0.0005873544242241,"vcapEC"
"Ifi44",7.57519070737677e-07,1.14422659247198,0.147,0.091,0.0138338132698115,"vcapEC"
"Lin37",5.26616466164359e-10,-1.13661694992775,0.042,0.1,9.61706990509352e-06,"vcapEC"
"Nckap5",8.45315725802593e-19,-1.11433145842701,0.045,0.137,1.5437155784607e-14,"vcapEC"
"Pak4",2.24013052707486e-14,-1.10804352177396,0.046,0.123,4.0909263685441e-10,"vcapEC"
"1700018A04Rik",8.24955079583199e-15,1.07300700720731,0.301,0.194,1.50653296633484e-10,"vcapEC"
