"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ttll3",4.1542903780587e-08,-1.388355379189,0.049,0.127,0.000724591327740998
"Arl8b",4.93343205917943e-08,0.385219584735303,0.14,0.06,0.000860489219762076
"Elk3",5.62807933486241e-08,0.259451042863531,0.138,0.058,0.000981649597586702
"Pip5k1c",5.89664016974967e-08,0.275522382576183,0.106,0.039,0.00102849197840774
"Prdx5",7.79494433239001e-08,0.300316105634513,0.138,0.059,0.00135959419045547
"Ctcf",7.92669509380248e-08,0.326558467885798,0.11,0.042,0.00138257415826103
"Evi2a",1.4189187715179e-07,-1.15618493571214,0.043,0.115,0.00247487812128153
"Mtpn",1.96172125689691e-07,0.270246208751653,0.102,0.038,0.00342163421627959
"Snx17",2.05431244495922e-07,0.294784848723431,0.116,0.047,0.00358313176649786
"Cox6c",2.54029399501374e-07,0.460437553677783,0.126,0.055,0.00443078078610297
"Epn1",2.95960352698247e-07,0.283171475513327,0.133,0.059,0.00516214047176282
"Pigk",3.10876514861571e-07,0.303489438465304,0.1,0.038,0.00542230817221551
"Cct4",3.58641477831201e-07,0.358210732680747,0.119,0.05,0.00625542465633181
"Tor1aip1",3.59169445729948e-07,0.314091477723222,0.182,0.094,0.00626463347242175
"Rps28",6.45064156382848e-07,-0.945481860346484,0.1,0.184,0.0112512090156296
"Atp5g3",7.53097348425871e-07,0.275014237728703,0.146,0.07,0.013135523951244
"Rnasek",8.87680277221103e-07,-0.998618833417788,0.039,0.102,0.0154829193952905
"Rps5",1.41910857408476e-06,-1.00913242101133,0.123,0.209,0.0247520917491864
"Tifa",1.46422988079638e-06,0.384863346013811,0.117,0.052,0.0255390975808504
"C1qb",1.50303581342305e-06,-0.674897756742834,0.746,0.728,0.0262159506577248
"Lrrc58",1.5790813338444e-06,0.364123022626629,0.205,0.12,0.027542336624914
"Ctnnb1",1.60309683684764e-06,0.351391573983273,0.107,0.046,0.0279612150282964
"Susd3",1.62331415944569e-06,0.325630187640659,0.188,0.104,0.0283138455690517
"Rpl35a",1.64563707744649e-06,-0.825571175262119,0.089,0.166,0.0287032019048217
"Ppp2r1a",1.94704646441624e-06,0.404763874773496,0.107,0.047,0.0339603844323481
"Stat6",2.03020884936786e-06,0.345467754972972,0.102,0.043,0.0354109027506741
"Spred1",2.04868485826995e-06,0.274838098501737,0.105,0.044,0.0357331612979444
"Rac2",2.04955230921488e-06,-0.860336263395415,0.044,0.109,0.035748291377326
"Rpl7",2.93325036516775e-06,-0.690368971825466,0.083,0.16,0.051161752869256
"Stard3",3.8985789335082e-06,-0.304433594682992,0.145,0.07,0.06799901375825
"Ccl6",4.93573642897804e-06,-1.10070079589358,0.043,0.102,0.086089114794235
"Rpl10",5.46413215286279e-06,-0.504919617577368,0.135,0.225,0.0953053930102327
"Sema4d",7.30504147256328e-06,0.353632523086684,0.158,0.086,0.127414533364449
"Ywhaq",1.11689124371086e-05,0.291896702224824,0.103,0.047,0.194808170728048
"Gnai2",1.53361682747752e-05,-1.26560916932768,0.205,0.278,0.267493447048629
"Ttyh3",1.78105093217453e-05,0.305409488690567,0.106,0.05,0.310650903589881
"Brd2",2.2797795901677e-05,-0.303664360327176,0.119,0.058,0.397639156117051
"Nars",2.49489651464406e-05,-0.287887599269222,0.148,0.078,0.435159850084217
"Fscn1",2.60656958521082e-05,-1.0322941970725,0.169,0.246,0.454637867052472
"Tmem176a",2.75457609808638e-05,-1.1737237049207,0.063,0.122,0.480453163028226
"Cd164",2.77475793434239e-05,-1.15906377223367,0.181,0.254,0.483973278908
"Fkbp2",2.80038673760614e-05,-0.256103343982837,0.11,0.053,0.488443454773263
"Ctsl",3.35063393855122e-05,-0.997100850871642,0.298,0.367,0.584417571562104
"Rpn1",5.58899189700161e-05,-0.361183666797107,0.133,0.071,0.974831966675021
"Rplp2",6.93445074898109e-05,-0.766270724184113,0.12,0.188,1
"Rps29",8.34996223146645e-05,0.529268891496966,0.148,0.091,1
"Rpsa",8.72012989520411e-05,0.395654512131683,0.178,0.113,1
