"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Egr3",1.15339867645687e-37,5.26257923144308,0.122,0.008,2.10633666294554e-33,"acapEC"
"S100a6",3.28439699234692e-22,3.31862177337513,0.104,0.02,5.99796578742395e-18,"acapEC"
"1700109K24Rik",5.04522755398545e-28,2.97826318070775,0.111,0.015,9.21359455908822e-24,"acapEC"
"Gask1b",2.26653560458284e-19,2.23297962210293,0.144,0.051,4.13914732108919e-15,"acapEC"
"Lrrc32",5.98397121366885e-16,2.17839980907789,0.106,0.033,1.09279282304021e-11,"acapEC"
"2610307P16Rik",3.26698860576634e-23,1.69481805340461,0.214,0.09,5.9661745918505e-19,"acapEC"
"Zc3h6",3.31677131203832e-11,1.50996520802612,0.117,0.052,6.05708777004439e-07,"acapEC"
"Gm26749",5.77473519815346e-13,1.40989538068251,0.133,0.058,1.05458214188678e-08,"acapEC"
"Nek1",9.03193699768243e-14,1.37231515759517,0.164,0.079,1.64941233451676e-09,"acapEC"
"Gm49797",6.73561031721989e-09,1.34794202751163,0.13,0.07,0.000123005715613,"acapEC"
"Nr4a2",1.95647084289297e-11,1.33367877829239,0.26,0.175,3.57290705329114e-07,"acapEC"
"Cmip",2.03091696222859e-08,1.32042759888056,0.114,0.059,0.0003708860556421,"acapEC"
"Stxbp4",8.49883107648299e-09,1.31274272472319,0.112,0.056,0.0001552056531187,"acapEC"
"Parn",1.53322515957762e-13,1.31087047351382,0.159,0.075,2.79997578642066e-09,"acapEC"
"A030001D20Rik",6.81185541186227e-10,1.29140824437414,0.108,0.049,1.24398103531429e-05,"acapEC"
"Mphosph9",1.9113322084729e-06,1.28443446195899,0.101,0.056,0.034904748791132,"acapEC"
"B3galnt2",1.66989409932841e-09,1.26722943817907,0.131,0.068,3.04956060419355e-05,"acapEC"
"Nfkbiz",2.69886378096714e-13,1.26037656475554,0.201,0.11,4.9286650368022e-09,"acapEC"
"Epg5",2.10896042829189e-09,1.25380354803454,0.117,0.057,3.85138353414665e-05,"acapEC"
"Tbc1d8",1.40605619009405e-13,1.2507930462747,0.146,0.064,2.56773981434975e-09,"acapEC"
"Castor2",3.60321681184586e-08,1.22327805027403,0.1,0.049,0.0006580194541792,"acapEC"
"Mylk",1.85818472048785e-06,1.21194303008112,0.111,0.065,0.0339341693655491,"acapEC"
"Pdpr",1.05538177710115e-08,1.19339996333853,0.118,0.06,0.0001927338201342,"acapEC"
"2210408F21Rik",1.58195890749276e-14,1.18003249024272,0.229,0.129,2.88897335686328e-10,"acapEC"
"Ifit2",1.01735376299235e-06,1.17511020117377,0.146,0.092,0.0185789144197662,"acapEC"
"Styx",5.88483992624285e-07,1.17023462227389,0.138,0.084,0.0107468946733047,"acapEC"
"Odf3b",1.23419218311568e-09,-1.1630029314909,0.043,0.1,2.25388176480585e-05,"acapEC"
"Wars2",2.8787136439443e-07,1.16293691421924,0.122,0.069,0.005257106856571,"acapEC"
"Ankrd49",2.03345690041161e-10,-1.16177135815713,0.055,0.12,3.71349899153168e-06,"acapEC"
"Ica1l",2.78982271218889e-11,1.14314439355081,0.173,0.093,5.09477423699935e-07,"acapEC"
"Fam120c",1.02227626311153e-06,1.14072948702664,0.122,0.072,0.0186688091169428,"acapEC"
"Cep290",2.38595024909706e-10,1.1190276163097,0.155,0.082,4.35722234490105e-06,"acapEC"
"1110051M20Rik",3.56671188655718e-07,1.10522005110768,0.161,0.103,0.0065135292472307,"acapEC"
"D430042O09Rik",7.57509462904241e-09,1.10486386267722,0.127,0.066,0.0001383363781155,"acapEC"
"Kcnj2",9.86186651222898e-09,1.10257436470044,0.131,0.07,0.0001800974062463,"acapEC"
"Mdfic",2.12868217809557e-07,1.08098255850581,0.134,0.078,0.0038873993936381,"acapEC"
"Apex2",4.59462985964401e-07,1.07033810806461,0.116,0.065,0.0083907130496818,"acapEC"
"Dnmbp",2.52621875372158e-08,1.06494653432902,0.149,0.086,0.0004613380688046,"acapEC"
"Tnik",4.03773208002369e-07,1.06187949320489,0.138,0.083,0.0073737063245392,"acapEC"
"Stat5b",7.10732498153898e-16,1.06173811328692,0.302,0.19,1.29793968812865e-11,"acapEC"
"Apba1",4.39991167070192e-10,1.05747465384298,0.211,0.134,8.03511869303586e-06,"acapEC"
"Slc43a2",5.0466247664439e-08,1.04410661872058,0.119,0.064,0.0009216146148479,"acapEC"
"Timm10",3.32127993401204e-09,-1.03575191315124,0.05,0.107,6.06532141549278e-05,"acapEC"
"Ercc6l2",8.30547348035351e-07,1.03254165288083,0.141,0.087,0.0151674556698216,"acapEC"
"Pogk",5.6804872233721e-08,1.0241979268897,0.136,0.077,0.0010373705767322,"acapEC"
"Peli2",1.34174534057714e-12,1.01913601405631,0.226,0.132,2.45029534096197e-08,"acapEC"
"AW011738",5.99117302359566e-07,1.01578286119256,0.121,0.07,0.0109410801756904,"acapEC"
"Itsn1",3.03044119713434e-08,1.00835597596552,0.175,0.11,0.0005534191714206,"acapEC"
"Invs",1.98087156097632e-10,1.00479012019931,0.199,0.119,3.61746764465496e-06,"acapEC"
"Tbc1d8b",3.13466883478071e-08,0.991047971211005,0.134,0.075,0.0005724532226076,"acapEC"
"Ythdc2",4.15123835687446e-09,0.985604245926136,0.161,0.092,7.58099148732413e-05,"acapEC"
"Ankrd6",5.60103003249768e-13,0.980758693952123,0.252,0.154,1.02286010453473e-08,"acapEC"
"Gm35188",7.77453129235306e-09,0.97669748668385,0.175,0.106,0.0001419784904609,"acapEC"
"Camkmt",1.39428857203679e-06,0.975298066671595,0.218,0.161,0.0254624979025359,"acapEC"
"Copg2",1.30762538562315e-07,0.969972488035955,0.222,0.157,0.0023879854792249,"acapEC"
"Tbc1d32",1.32542101330696e-06,0.96635151525257,0.145,0.091,0.0242048385450116,"acapEC"
"Kremen1",6.59906568026497e-07,0.961816445243699,0.119,0.068,0.0120512137452999,"acapEC"
"Atm",2.59859747946937e-07,0.955078173088241,0.136,0.079,0.0047455587170069,"acapEC"
"Gbp8",4.96378562115256e-07,0.932476408508928,0.155,0.099,0.0090648653013488,"acapEC"
"Sp4",1.52736436803481e-06,0.92353452200245,0.171,0.114,0.0278927280890516,"acapEC"
"Dph6",1.04308407529008e-06,0.920449026279437,0.195,0.135,0.0190488013829474,"acapEC"
"Sept8",1.97695174887102e-06,0.910078261782141,0.118,0.07,0.0361030928378826,"acapEC"
"Nfyc",1.43565381319615e-07,0.909038148898861,0.187,0.124,0.0026217909936588,"acapEC"
"Tdrd3",1.66233227796145e-08,0.902955465118023,0.201,0.131,0.0003035751206013,"acapEC"
"Zbtb44",1.52310382417964e-12,0.902216618086164,0.266,0.169,2.78149220371685e-08,"acapEC"
"Arfip2",3.95217037805036e-07,-0.896734502511455,0.059,0.11,0.0072174535443955,"acapEC"
"Tmub2",7.41078786191162e-10,-0.895312598271278,0.066,0.134,1.3533580793423e-05,"acapEC"
"H2-Q7",5.46259109702361e-09,0.892877825434939,0.137,0.073,9.97578386138451e-05,"acapEC"
"Borcs6",2.07403654293876e-10,-0.887635533806567,0.055,0.121,3.78760553471476e-06,"acapEC"
"Cep135",1.39360035748612e-06,0.881869528156345,0.121,0.071,0.0254499297284115,"acapEC"
"Oxsr1",9.85852376694128e-10,0.87780920273536,0.199,0.121,1.80036361031882e-05,"acapEC"
"Ccdc6",4.19736688570818e-09,0.872048491596655,0.191,0.118,7.66523140668028e-05,"acapEC"
"Pspc1",2.08989554875199e-09,0.862210713902664,0.233,0.155,3.81656725113088e-05,"acapEC"
"Clybl",2.16500035766516e-06,0.859467436638469,0.139,0.087,0.0395372365316812,"acapEC"
"Gm11944",9.05443231878017e-08,0.858023321255371,0.204,0.136,0.0016535204300556,"acapEC"
"Yju2",4.34901229576017e-08,-0.855268103753423,0.062,0.118,0.0007942166254517,"acapEC"
"Miga1",4.10016988646734e-07,0.852957505243886,0.18,0.12,0.0074877302466666,"acapEC"
"Myo9b",1.16875994571112e-06,0.85130787861564,0.158,0.102,0.0213438941285765,"acapEC"
"Hs2st1",7.72420184841582e-07,0.842976906041188,0.18,0.121,0.014105937415577,"acapEC"
"Tsc22d2",7.63729946637601e-14,0.840071952390695,0.379,0.272,1.39472362854959e-09,"acapEC"
"Ints6",2.5455926914574e-11,0.834941869233144,0.269,0.175,4.6487613731395e-07,"acapEC"
"Lypd1",1.50839565019955e-07,0.834766105442062,0.172,0.108,0.0027546321363944,"acapEC"
"Pfdn4",4.39922399234913e-10,-0.834320157086907,0.103,0.182,8.03386285482798e-06,"acapEC"
"Mtor",3.87169140154402e-07,0.833726645095361,0.194,0.132,0.0070704828374996,"acapEC"
"Trim37",8.75647589292321e-07,0.82587297945405,0.154,0.098,0.0159910762756564,"acapEC"
"Arfgef2",7.07948045172306e-07,0.816235520336432,0.179,0.12,0.0129285472009367,"acapEC"
"Hic1",2.56614962043847e-08,-0.811333534518444,0.089,0.155,0.0004686302436844,"acapEC"
"Rnf220",1.01920093808854e-06,0.804213294431752,0.257,0.194,0.0186126475313729,"acapEC"
"Eefsec",2.71842799558029e-06,0.800834780654373,0.13,0.079,0.0496439320552873,"acapEC"
"Emc9",1.50639278862015e-06,-0.800080152539315,0.071,0.122,0.0275097451057812,"acapEC"
"Osbpl11",7.10006212502769e-08,0.799226260775615,0.199,0.13,0.0012966133452725,"acapEC"
"Alkbh8",1.1086102245703e-06,0.798208643845872,0.179,0.119,0.0202454399211027,"acapEC"
"Atp7a",1.98942943002032e-07,0.794194575240901,0.238,0.171,0.0036330960251031,"acapEC"
"Bola1",7.68990785456449e-08,-0.787602439932346,0.074,0.134,0.0014043309724005,"acapEC"
"Ptbp2",4.84739752461805e-09,0.774976588305364,0.266,0.187,8.85231735945749e-05,"acapEC"
"Ttc23",5.32874050168617e-09,0.766208854483973,0.282,0.202,9.73134590417929e-05,"acapEC"
"Msantd2",6.01640596715733e-10,0.764395875190528,0.222,0.136,1.09871605772227e-05,"acapEC"
"Ubac2",1.04359491394573e-07,0.76018262440629,0.233,0.163,0.0019058130318476,"acapEC"
"Wbp1l",2.09737735983158e-06,0.757559814869694,0.189,0.131,0.0383023053452443,"acapEC"
"Hace1",6.2412457830342e-07,0.750997359115588,0.209,0.145,0.011397763048977,"acapEC"
"Gfer",8.88514650300594e-08,-0.747216066459651,0.054,0.108,0.0016226054543789,"acapEC"
"Serinc5",9.16483685934941e-10,0.745708842050067,0.279,0.192,1.67368250725439e-05,"acapEC"
"Mtmr10",8.99608437912344e-07,0.734379286982306,0.211,0.148,0.0164286492931552,"acapEC"
"Npepps",3.44594517156025e-09,0.733836943341494,0.316,0.238,6.29298507230333e-05,"acapEC"
"Parg",2.13336080178077e-08,0.731017869925312,0.271,0.196,0.0003895943496212,"acapEC"
"Cnpy3",4.88720531556023e-08,-0.729496597593348,0.085,0.15,0.0008925014347276,"acapEC"
"Brip1os",2.52848090521862e-06,0.728116219727856,0.169,0.113,0.0461751182911025,"acapEC"
"Snrpa",6.06194693214196e-10,-0.712173356016157,0.125,0.208,1.10703274874777e-05,"acapEC"
"Pot1a",2.33071713238529e-06,0.710348676257873,0.209,0.148,0.0425635562716202,"acapEC"
"Arhgap21",1.26199136426227e-08,0.708280234697516,0.275,0.196,0.0002304648629415,"acapEC"
"Zfp871",2.33233259040027e-10,0.708061276939754,0.339,0.25,4.25930577658898e-06,"acapEC"
"Arih2",1.72350459527023e-06,0.699371290087229,0.239,0.177,0.0314746409188249,"acapEC"
"Rpp30",1.94327588226635e-07,-0.698663076086539,0.094,0.157,0.0035488104161948,"acapEC"
"Apba3",1.68745297847912e-06,-0.696185211147061,0.058,0.106,0.0308162662929856,"acapEC"
"Tbc1d22a",6.90907831806135e-07,0.694923604726188,0.222,0.158,0.0126173588244436,"acapEC"
"Exosc5",4.52981015022064e-07,-0.694706387360499,0.077,0.133,0.0082723392963329,"acapEC"
"Cinp",2.09182005204459e-06,-0.690671898599369,0.085,0.139,0.0382008177904383,"acapEC"
"Ahcyl1",1.11511321368443e-13,0.689643423958881,0.429,0.323,2.0364197508305e-09,"acapEC"
"Bach1",2.149206525989e-08,0.688396683731559,0.324,0.245,0.0003924880957761,"acapEC"
"Chd7",4.99127947992593e-07,0.684421691891168,0.217,0.15,0.0091150745862407,"acapEC"
"Mtmr2",3.8671618734778e-11,0.677111716198383,0.336,0.243,7.06221101334516e-07,"acapEC"
"Ppard",1.82645282886283e-08,0.676647472467353,0.342,0.266,0.0003335468156069,"acapEC"
"Znfx1",5.25259725050413e-08,0.674840451050564,0.295,0.221,0.000959229309887,"acapEC"
"Zmym2",3.57608137137919e-10,0.670234211978426,0.352,0.264,6.53063980041267e-06,"acapEC"
"Rev3l",5.5284524465883e-07,0.668438053137914,0.297,0.232,0.0100960598579595,"acapEC"
"8030462N17Rik",1.33419059570809e-07,0.667139179426749,0.289,0.217,0.0024364988658821,"acapEC"
"Lrrk1",1.11328601190659e-12,0.665587599725283,0.438,0.343,2.03308291494381e-08,"acapEC"
"Tec",9.77864079422372e-07,0.658728379552965,0.257,0.189,0.0178577538184114,"acapEC"
"Camk2d",1.73812413327675e-10,0.658157444352673,0.434,0.346,3.17416229219001e-06,"acapEC"
"Ly75",1.00514515491364e-08,0.658088654446923,0.352,0.274,0.0001835596081903,"acapEC"
"Pcdh19",1.42384909513556e-06,0.649790894197724,0.294,0.226,0.0260023321753656,"acapEC"
"9930021J03Rik",1.98536342395926e-09,0.648288312118263,0.413,0.335,3.62567068483441e-05,"acapEC"
"Zcchc10",1.34675106219146e-07,-0.644447134977955,0.108,0.177,0.002459436789774,"acapEC"
"Nup98",1.88714172869466e-07,0.642751169698411,0.314,0.245,0.0034462982249422,"acapEC"
"Itpa",8.38328904743699e-07,-0.640577934311629,0.093,0.152,0.0153095624584294,"acapEC"
"Smc5",1.71757704561659e-08,0.640353862759902,0.255,0.173,0.0003136639200705,"acapEC"
"9530068E07Rik",5.66290662827918e-09,-0.639343377883017,0.141,0.225,0.0001034160008456,"acapEC"
"Phf12",5.9404780230257e-08,0.632248758484368,0.304,0.234,0.0010848500965649,"acapEC"
"Gripap1",2.65220452488901e-06,0.625822253072654,0.242,0.177,0.048434559033523,"acapEC"
"Ahctf1",1.36070450288386e-07,0.622363251613377,0.311,0.241,0.0024849185631665,"acapEC"
"Kctd6",5.73694371901792e-07,-0.620418216198782,0.064,0.117,0.0104768066196705,"acapEC"
"Vrk3",1.88265633597573e-06,-0.617771414109372,0.096,0.152,0.0343810700075888,"acapEC"
"Stx8",2.18391130900719e-06,0.616099438838371,0.355,0.299,0.0398825883250892,"acapEC"
"Net1",2.85323143701638e-09,0.604689107697207,0.413,0.329,5.21057125027931e-05,"acapEC"
