"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Tor3a",2.42558852269813e-07,0.567256540496101,0.158,0.108,0.004294504479437,"capEC"
"Gm15270",5.9269833246449e-07,0.566149172362722,0.107,0.066,0.0104937239762838,"capEC"
"Ctla2b",2.33322716349301e-25,0.566031531848647,0.565,0.423,4.13097869296438e-21,"capEC"
"Asb4",2.8060381739035e-10,0.55913404622102,0.193,0.126,4.96809058689615e-06,"capEC"
"Irgm1",1.16357505860792e-12,0.558125276488814,0.323,0.232,2.06010964126533e-08,"capEC"
"Hmgcs2",2.55131585881689e-16,0.551539976235502,0.41,0.297,4.51710472803531e-12,"capEC"
"Clec1a",3.54095577798099e-07,0.540146847641418,0.106,0.065,0.0062692622049153,"capEC"
"Chst2",2.09852816766509e-07,0.5399888125964,0.118,0.074,0.003715444120851,"capEC"
"Tada2b",7.56670365547877e-09,0.538326361382994,0.159,0.102,0.0001339684882202,"capEC"
"Ifi47",7.99518211707157e-09,0.538233465535731,0.225,0.161,0.0001415546993827,"capEC"
"Efnb1",1.90418796597875e-07,0.537792345297549,0.151,0.101,0.0033713647937653,"capEC"
"Rnf213",6.27865322229389e-15,0.534162914594103,0.387,0.277,1.11163555300713e-10,"capEC"
"Gbp7",1.43607011249609e-19,0.529221326645214,0.606,0.479,2.54256213417433e-15,"capEC"
"Plaur",8.11794848553119e-10,0.527505765655966,0.244,0.171,1.4372827793633e-05,"capEC"
"Tmem241",4.00838311671121e-07,0.527275197161245,0.106,0.065,0.0070968423081372,"capEC"
"Ptp4a3",2.29899305289783e-07,-0.527103704758436,0.244,0.302,0.0040703672001556,"capEC"
"Tecrl",1.03281921488904e-08,0.525484987016492,0.182,0.122,0.0001828606419961,"capEC"
"Eif2ak4",2.39175460516758e-09,0.525234035364742,0.22,0.152,4.2346015284492e-05,"capEC"
"9630028H03Rik",1.31383924831475e-07,0.522753002243959,0.16,0.108,0.0023261523891412,"capEC"
"Cyth1",1.47019554591939e-20,0.522043786207674,0.423,0.291,2.60298121405028e-16,"capEC"
"Pdcd4",9.66198643783399e-19,0.518499522499247,0.428,0.301,1.71065469881851e-14,"capEC"
"Tnfrsf12a",9.72582485930324e-10,0.5182857743828,0.245,0.173,1.72195729133964e-05,"capEC"
"Mfsd4a",1.51749831028569e-10,0.514700097769432,0.218,0.146,2.68673075836081e-06,"capEC"
"Dnaja4",2.58184614800063e-08,0.512973749915904,0.166,0.11,0.0004571158605035,"capEC"
"Cramp1l",2.1602282874896e-13,0.506824573203447,0.272,0.18,3.82468418300034e-09,"capEC"
"Sept2",1.13375707444134e-06,0.494690643601651,0.115,0.074,0.0200731690029839,"capEC"
"Bcar3",2.46264154258477e-11,0.49435164085768,0.239,0.16,4.36010685114633e-07,"capEC"
"Stard13",4.35760353071569e-24,0.493948447588605,0.576,0.43,7.71513705113213e-20,"capEC"
"Ifrd1",7.95417731732859e-13,0.492939939493935,0.374,0.277,1.40828709403303e-08,"capEC"
"P4ha1",7.51274613995313e-14,0.485678788431071,0.37,0.266,1.3301317040787e-09,"capEC"
"Lamtor1",1.74294053367366e-06,-0.481039668407854,0.235,0.291,0.0308587621486921,"capEC"
"Shld1",1.49974143883264e-16,0.478863746282045,0.446,0.33,2.65529221745319e-12,"capEC"
"Msrb3",1.63042750966118e-16,0.477120727687481,0.412,0.298,2.88667190585512e-12,"capEC"
"Serpinb6b",4.20142828328209e-12,0.476784764687814,0.311,0.221,7.43862877555095e-08,"capEC"
"Mapk1ip1",5.92230825562011e-10,0.476043941295462,0.16,0.099,1.04854467665754e-05,"capEC"
"Insr",1.04751444642751e-35,0.474133335419042,0.793,0.648,1.85462432739991e-31,"capEC"
"Parp9",2.09502380848317e-10,0.465781077763427,0.259,0.183,3.70923965291945e-06,"capEC"
"Ccdc6",7.8811819089826e-07,0.464734497878923,0.15,0.102,0.0139536325698537,"capEC"
"Mark3",1.28509560773611e-21,0.461327703989154,0.546,0.403,2.27526177349678e-17,"capEC"
"Tmem140",5.11068489446978e-16,0.454781850388325,0.478,0.357,9.04846760565874e-12,"capEC"
"Sh3bp5",2.13065508065371e-06,0.451301072517933,0.152,0.106,0.037723248202974,"capEC"
"Stat1",6.36538567783332e-17,0.448926114573361,0.454,0.334,1.12699153426039e-12,"capEC"
"Jdp2",1.33844971751106e-06,0.448861406326987,0.112,0.072,0.0236972522485333,"capEC"
"Dtx3l",2.12049379490287e-13,0.448587216607956,0.273,0.179,3.75433426387552e-09,"capEC"
"Pdxk",9.08220941136368e-19,0.442166514192716,0.517,0.383,1.60800517628194e-14,"capEC"
"Ppfibp1",2.32395663499275e-38,0.438026075582447,0.861,0.736,4.11456522225465e-34,"capEC"
"Gltp",1.44215021546188e-15,0.436088196748838,0.461,0.347,2.55332695647526e-11,"capEC"
"Plpp6",1.21224519452928e-12,0.435850908375889,0.437,0.337,2.1462801169141e-08,"capEC"
"Ifih1",1.63969572461215e-12,0.433641000039568,0.342,0.246,2.90308128042582e-08,"capEC"
"Spred1",3.31811069586056e-08,0.431923372865525,0.196,0.137,0.0005874714987021,"capEC"
"Abcg1",3.42591234420218e-08,0.431162179261015,0.196,0.136,0.0006065577805409,"capEC"
"Il13ra1",7.9523239559337e-07,0.430455033975434,0.176,0.124,0.0140795895639806,"capEC"
"Tbc1d10a",9.49643251517144e-09,0.428386580463468,0.179,0.118,0.0001681343376811,"capEC"
"Oaz1",4.12663192211916e-28,-0.428384958514265,0.768,0.809,7.30620181811197e-24,"capEC"
"Picalm",4.59666953054559e-27,0.425797669628744,0.699,0.559,8.13840340383097e-23,"capEC"
"Trim34a",1.92356860247322e-09,0.424757961102234,0.294,0.218,3.40567821067884e-05,"capEC"
"M6pr",4.00979606216278e-13,0.424194520235657,0.42,0.312,7.0993439280592e-09,"capEC"
"Ifi35",3.46411079654464e-13,0.421823140983136,0.547,0.436,6.13320816528229e-09,"capEC"
"Selenom",3.55769521868311e-09,-0.420685098903963,0.428,0.484,6.29889938467845e-05,"capEC"
"Sos1",4.9845075543846e-18,0.420015802010827,0.611,0.486,8.82507062503793e-14,"capEC"
"Coro2b",1.71152330637574e-14,0.418740836209934,0.366,0.257,3.03025201393825e-10,"capEC"
"Spr",1.41270320555308e-07,-0.415240504402097,0.337,0.395,0.0025011910254317,"capEC"
"Tor1aip1",1.18609341997352e-17,0.414276711013806,0.547,0.412,2.09997840006311e-13,"capEC"
"Rbms2",3.77170805633619e-14,0.414149574225923,0.43,0.317,6.67780911374323e-10,"capEC"
"Isyna1",8.97229122996514e-08,-0.412853005036837,0.54,0.568,0.0015885441622653,"capEC"
"Rapgef6",1.39300402241241e-16,0.411817228856782,0.621,0.506,2.46631362168116e-12,"capEC"
"Lrch1",4.26250835159137e-21,0.410814010143741,0.647,0.512,7.54677103649253e-17,"capEC"
"Map1lc3a",1.48616592051494e-08,-0.410358727381134,0.474,0.52,0.0002631256762271,"capEC"
"Mitd1",2.22742536628026e-12,0.406099456228214,0.335,0.239,3.9436566109992e-08,"capEC"
"AW549877",5.21082325168659e-07,0.405522452853052,0.184,0.13,0.0092257625671111,"capEC"
"9930111J21Rik2",1.05825427266628e-09,0.405361921359351,0.463,0.379,1.87363918975564e-05,"capEC"
"Prrg1",1.17185580120668e-14,0.405182483698943,0.464,0.343,2.07477069603643e-10,"capEC"
"Bach2",2.44469769502081e-12,0.405025382548004,0.418,0.314,4.32833726903435e-08,"capEC"
"Ddx58",2.85121221282861e-12,0.403588416008963,0.356,0.259,5.04807122281305e-08,"capEC"
"Tmtc1",2.34646840570572e-14,0.402621992470331,0.46,0.346,4.15442231230198e-10,"capEC"
"Tm4sf1",2.12323274254806e-17,0.398496761013349,0.74,0.624,3.75918357068134e-13,"capEC"
"Shank3",1.19540197309843e-16,0.397901773454231,0.45,0.326,2.11645919337077e-12,"capEC"
"Prdx2",3.50542510850072e-11,-0.397725289861504,0.524,0.572,6.20635515460052e-07,"capEC"
"Irgm2",4.97644875911954e-08,0.396546125162592,0.255,0.186,0.0008810802528021,"capEC"
"Itpripl2",2.92507442347219e-10,0.395211704221753,0.339,0.251,5.17884426675751e-06,"capEC"
"Epb41",1.27375298528438e-14,0.394342133022332,0.406,0.291,2.25517966044599e-10,"capEC"
"Smad1",3.53734002991131e-09,0.392268215786784,0.373,0.289,6.26286052295797e-05,"capEC"
"AW112010",1.34901175779736e-11,0.389531599085958,0.602,0.502,2.38842531718022e-07,"capEC"
"Hey1",1.36779228105467e-07,0.389513297486074,0.163,0.11,0.0024216762336073,"capEC"
"Ccdc88a",1.18848695382767e-11,0.389250800601968,0.445,0.344,2.1042161517519e-07,"capEC"
"Dnajb2",6.49419886805632e-11,0.388480595510245,0.257,0.174,1.14979790958937e-06,"capEC"
"Rnasek",4.45411464082301e-09,-0.388245976751976,0.502,0.55,7.88600997157714e-05,"capEC"
"Ndufb9",8.06185426319178e-09,-0.38705726818234,0.537,0.578,0.0001427351297298,"capEC"
"Pnkd",1.61625823585705e-07,-0.386679356192679,0.423,0.47,0.0028615852065849,"capEC"
"Med13l",1.24607043827661e-11,0.38567738482027,0.38,0.283,2.20616771096873e-07,"capEC"
"Gm11808",2.27059362169867e-12,0.384549022854658,0.404,0.306,4.0200860072175e-08,"capEC"
"Pik3c2a",1.71649838463966e-18,0.384519664710627,0.655,0.534,3.03906039000452e-14,"capEC"
"Sgk1",6.95577623370128e-11,0.382324725877567,0.474,0.378,1.23152018217681e-06,"capEC"
"Lgals3bp",4.04125294136482e-08,0.38184265047529,0.254,0.186,0.0007155038332686,"capEC"
"Higd2a",1.78099025936528e-07,-0.380682342677567,0.454,0.498,0.0031532432542062,"capEC"
"Dennd6a",9.89321962488935e-11,0.380204241709514,0.388,0.297,1.75159453458666e-06,"capEC"
"Fxyd5",7.7442973020649e-21,-0.379233154006737,0.854,0.86,1.37112783733059e-16,"capEC"
"Sik1",6.70525772316711e-19,0.379100865153497,0.593,0.461,1.18716587988674e-14,"capEC"
"Crim1",2.12593077090173e-13,0.377055085706549,0.479,0.366,3.76396042988152e-09,"capEC"
"Ndufb8",1.65656995131095e-06,-0.376275224817166,0.465,0.494,0.0293295709879604,"capEC"
"Rmnd5a",9.48893164230828e-11,0.375085535462317,0.311,0.224,1.68001534727068e-06,"capEC"
"Gprasp1",1.61752407743015e-07,0.373469201014532,0.241,0.176,0.00286382637909,"capEC"
"Tead1",7.0207467970513e-11,0.373381284504739,0.38,0.289,1.24302322041793e-06,"capEC"
"Ythdc1",6.3522896237869e-19,0.373238849791523,0.613,0.479,1.12467287789147e-14,"capEC"
"Gapdh",4.60276527141135e-13,-0.372977385868712,0.707,0.719,8.14919591303379e-09,"capEC"
"Slfn5",4.39009799864217e-26,0.372797149147228,0.87,0.772,7.77266850659596e-22,"capEC"
"Ddx60",9.368553424589e-07,0.372721541790792,0.181,0.128,0.0165870238382348,"capEC"
"Sbf2",4.22120786637765e-20,0.369786168819494,0.658,0.524,7.47364852742163e-16,"capEC"
"Hivep1",9.00277651390498e-12,0.369401219142286,0.35,0.255,1.59394158178688e-07,"capEC"
"Rnf19a",1.10424009303822e-11,0.368935669526793,0.404,0.303,1.95505708472417e-07,"capEC"
"Mkrn1",1.16572751999265e-06,0.36772120620489,0.316,0.252,0.0206392057414698,"capEC"
"Arhgap27",1.95209982755179e-10,0.364159182944467,0.353,0.263,3.45619274468045e-06,"capEC"
"Stom",5.07539604228199e-11,0.357728750721881,0.318,0.227,8.98598869286027e-07,"capEC"
"Vcl",9.91325328359207e-08,0.357331935825668,0.451,0.371,0.0017551414938599,"capEC"
"Crip2",9.75015022810704e-36,-0.357273750086473,0.954,0.949,1.72626409788635e-31,"capEC"
"Nt5c2",3.06725370110279e-13,0.357244998690081,0.46,0.348,5.4305726778025e-09,"capEC"
"Lgals9",3.93513579727334e-10,0.356370544468585,0.541,0.446,6.96715792907245e-06,"capEC"
"Slc38a2",2.98124155454834e-15,0.356317040754565,0.713,0.6,5.27828817232784e-11,"capEC"
"Zc3hav1",8.07760886392606e-10,0.355132037000476,0.336,0.25,1.43014064935811e-05,"capEC"
"Ddx21",3.35526300986639e-09,0.353951292277309,0.375,0.294,5.94049315896845e-05,"capEC"
"Uhmk1",6.85983949508308e-07,0.353583541763884,0.199,0.143,0.0121453458260446,"capEC"
"Csrp1",1.76976651789065e-08,0.351188563987215,0.376,0.295,0.0003133371619925,"capEC"
"Ssr3",6.00075375402936e-11,0.349089481758674,0.449,0.347,1.0624334521509e-06,"capEC"
"Wbp11",3.94464351653553e-13,0.34797463391273,0.404,0.295,6.98399134602616e-09,"capEC"
"Degs2",7.23478668219804e-10,-0.347726656189593,0.632,0.662,1.28091898208316e-05,"capEC"
