"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Nav2",9.78628297578837e-08,1.34479710373045,0.266,0.116,0.0017326614008633,"vEC"
"Dpysl2",4.06396212932901e-12,1.32431022906956,0.432,0.215,7.19524494997701e-08,"vEC"
"Smo",2.80787411739041e-06,-1.29747206486424,0.067,0.162,0.0497134112483972,"vEC"
"Ptgis",1.00244029730214e-06,-1.25438711102121,0.059,0.155,0.0177482054637343,"vEC"
"Car5a",1.33878076796275e-09,1.25304174450309,0.396,0.208,2.37031134967806e-05,"vEC"
"Plscr1",4.90262327189875e-14,-1.22304620045861,0.178,0.405,8.68009450289674e-10,"vEC"
"Camk2g",9.05224752186377e-07,-1.14773857549153,0.094,0.211,0.0160270042374598,"vEC"
"Ctps",2.40988476460398e-07,-1.12291926959333,0.133,0.268,0.0042667009757313,"vEC"
"Mgst1",1.82346691603803e-09,-1.12139875230156,0.083,0.222,3.22844817484533e-05,"vEC"
"Ehd1",6.31569157896104e-11,-1.11550733677,0.168,0.356,1.11819319405505e-06,"vEC"
"Ddc",1.19917074489853e-16,1.10474056434083,0.684,0.447,2.12313180384285e-12,"vEC"
"Palmd",4.36344072313999e-31,1.10140960216,0.916,0.761,7.72547180031935e-27,"vEC"
"Hmgn3",6.60870155355605e-07,-1.04901157462132,0.097,0.218,0.011700706100571,"vEC"
"Trim47",1.42825950929566e-09,1.0241649187412,0.512,0.345,2.52873346120796e-05,"vEC"
"Rnaset2a",1.18119351046174e-06,1.02179266062471,0.381,0.239,0.0209130311027251,"vEC"
"Rin2",1.42079731271795e-08,0.982698785035241,0.444,0.261,0.0002515521642167,"vEC"
"Myo1e",3.68506921553234e-09,0.973273083521466,0.559,0.394,6.52441504610002e-05,"vEC"
"Rasgrp3",3.64646718316339e-17,0.96360531591603,0.761,0.577,6.45607014779078e-13,"vEC"
"Efr3b",9.56931367515732e-14,0.946427561088503,0.57,0.327,1.6942469861866e-09,"vEC"
"B3gnt2",3.72966623584576e-17,0.941569840810424,0.776,0.63,6.60337407056492e-13,"vEC"
"Msi2",3.9705856732867e-16,0.930723719984001,0.77,0.63,7.0299219345541e-12,"vEC"
"Plcg1",1.3601178403168e-08,0.921339968260104,0.49,0.317,0.000240808863628,"vEC"
"Jup",1.38808767628418e-07,0.920672836778459,0.487,0.342,0.0024576092308611,"vEC"
"Nes",1.03364149928186e-13,0.914921390172328,0.682,0.486,1.83006227447854e-09,"vEC"
"Sparcl1",6.9546452918016e-38,0.90265791870509,0.99,0.937,1.23131994891347e-33,"vEC"
"Stard8",6.67164078629301e-07,0.901634845309461,0.461,0.331,0.0118121400121318,"vEC"
"Baiap2",7.95646227957357e-07,0.846271573787631,0.421,0.275,0.014086916465985,"vEC"
"Ifitm2",1.09270837172698e-20,-0.835657275299688,0.807,0.923,1.93464017214261e-16,"vEC"
"Xbp1",2.38179321599384e-08,-0.802839165595379,0.533,0.68,0.0004216964888917,"vEC"
"Rad21",4.7765009773742e-07,0.802667034487605,0.518,0.384,0.008456794980441,"vEC"
"Syne1",1.73372949663345e-14,0.788942548807002,0.812,0.651,3.06956807378953e-10,"vEC"
"Clstn1",7.43567196778986e-07,0.773879782952777,0.556,0.447,0.0131648572189719,"vEC"
"Spock2",8.28033522968578e-31,0.764066956571742,0.988,0.951,1.46603335241587e-26,"vEC"
"Pllp",1.54214956248088e-08,0.761468712826728,0.655,0.535,0.0002730375800372,"vEC"
"Notch1",6.00085188985231e-09,0.754198816160361,0.629,0.461,0.0001062450827098,"vEC"
"Map3k20",4.63013811390221e-08,0.747864654484522,0.525,0.338,0.0008197659530663,"vEC"
