"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Uty",1.45497455410275e-13,-1.20708814568095,0.047,0.103,2.58127035643369e-09,"capEC"
"Prr5l",3.6619606606808e-33,-1.02105056270044,0.167,0.307,6.49668440811381e-29,"capEC"
"4732471J01Rik",7.80628711761026e-21,-0.947333270897869,0.18,0.287,1.38491339753524e-16,"capEC"
"Gm12758",1.6521045627541e-10,-0.922455982602486,0.063,0.116,2.93099870478205e-06,"capEC"
"1700018A04Rik",5.88987149138271e-17,-0.907814763747386,0.123,0.209,1.04492210128621e-12,"capEC"
"Tex14",1.83280524299551e-11,-0.890931360551615,0.099,0.163,3.25157978159834e-07,"capEC"
"Ezh2",1.5786530028091e-15,-0.875391256786795,0.128,0.212,2.80068829228362e-11,"capEC"
"Zfp608",1.13376081272099e-17,-0.869454637328064,0.132,0.222,2.01140505784831e-13,"capEC"
"Tnfrsf12a",4.14075413846448e-17,0.857065928234929,0.265,0.173,7.34611191704983e-13,"capEC"
"Sesn3",5.4048777016902e-10,-0.856238938542307,0.086,0.141,9.58879353056859e-06,"capEC"
"Sema6b",3.67564974002647e-07,0.845615541233624,0.119,0.078,0.0065209702037809,"capEC"
"Mboat1",5.52084086636535e-10,-0.842760704560468,0.08,0.133,9.79452378101877e-06,"capEC"
"Nifk",2.8445458712439e-11,-0.821522052333377,0.099,0.161,5.0465088301738e-07,"capEC"
"Hspa1b",8.91238377090245e-43,-0.820254769974443,0.299,0.478,1.5811460047958e-38,"capEC"
"Ifi44",2.90756999922033e-07,0.819075029309751,0.166,0.119,0.0051583199356167,"capEC"
"Gm48678",1.48519315227943e-12,-0.817579008754345,0.104,0.172,2.63488117145894e-08,"capEC"
"Gtf2ird1",6.64792547863506e-14,-0.788387600788403,0.129,0.207,1.17940845916465e-09,"capEC"
"Kcp",3.05832413473803e-14,-0.787142178246679,0.083,0.154,5.42577284743874e-10,"capEC"
"Sorbs2os",1.13649552651144e-12,-0.786534637305593,0.123,0.193,2.01625671358394e-08,"capEC"
"Gm4258",1.47028052650103e-08,-0.784130689743169,0.081,0.13,0.0002608424682065,"capEC"
"Dtnb",2.47795067703053e-08,-0.778507309355808,0.061,0.105,0.0004396132296119,"capEC"
"Afg1l",2.70336908946513e-09,-0.759415748606183,0.069,0.118,4.79604710162008e-05,"capEC"
"Abcb7",1.15058463252518e-08,-0.752876597375034,0.102,0.155,0.0002041252196562,"capEC"
