"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Gkn3",1.66018629363866e-16,-2.14963964653929,0.044,0.124,2.94533650354435e-12,"acapEC"
"Cdc42ep2",2.05306763704495e-06,-1.02783962282798,0.07,0.117,0.0364234729488145,"acapEC"
"Trib1",1.57802370100672e-11,1.01155142146899,0.168,0.086,2.79957184795602e-07,"acapEC"
"Dcbld2",2.96870555486304e-12,0.896365278720448,0.227,0.131,5.26678052488253e-08,"acapEC"
"Edn3",1.30111998312984e-08,-0.847384273966207,0.151,0.224,0.000230831696207,"acapEC"
"Rhpn2",1.97459494918323e-06,-0.778725920339418,0.117,0.173,0.0350312889934597,"acapEC"
"Zfp410",1.27146935638103e-07,0.739120756067653,0.128,0.07,0.0022557137851555,"acapEC"
"Foxo3",1.16933965140955e-08,0.721526864162743,0.205,0.127,0.0002074525475565,"acapEC"
"Efna1",2.42027799995973e-08,-0.606069526012369,0.24,0.316,0.0004293815199728,"acapEC"
"Cramp1l",8.15125795195214e-09,0.593253531465728,0.26,0.171,0.0001446114673255,"acapEC"
"Dnah3",1.52368432726155e-07,0.571594190102697,0.239,0.163,0.0027031683649947,"acapEC"
"Ppp1r15a",1.41943552047093e-07,0.568695511595696,0.331,0.241,0.0025182205568674,"acapEC"
"Cebpz",1.4345860825437e-12,0.561327543245807,0.41,0.281,2.54509916904078e-08,"acapEC"
"2610035D17Rik",1.81542309773841e-06,0.519648417340681,0.187,0.123,0.0322074211769771,"acapEC"
"Gm49417",4.22131108459712e-08,0.496964929472964,0.282,0.192,0.0007489027995183,"acapEC"
"2310009A05Rik",1.77940911808763e-07,0.483072529385923,0.242,0.161,0.0031568497163992,"acapEC"
"Prrg1",4.37667953813119e-07,0.43100250736137,0.427,0.333,0.0077646671685985,"acapEC"
"Usp46",1.04461453792412e-08,0.417276997452188,0.513,0.41,0.0001853250651731,"acapEC"
"Hist1h1c",1.50865245496394e-06,0.39120980986323,0.392,0.301,0.0267650032035152,"acapEC"
"Eftud2",9.52625280391675e-08,0.370929461096761,0.458,0.351,0.0016900525099428,"acapEC"
"Tmtc1",2.12814016423167e-08,0.369423578334417,0.489,0.372,0.0003775533465363,"acapEC"
"Prnp",8.10090064825042e-10,-0.369407309841728,0.668,0.69,1.43718078400611e-05,"acapEC"
"Fmc1",1.22600463057026e-07,0.367204382729951,0.272,0.182,0.0021750548150947,"acapEC"
"Nop10",1.06710043217585e-09,0.361260196397502,0.504,0.39,1.89314287672317e-05,"acapEC"
"Lrch1",2.77227673858647e-11,0.360245910362552,0.702,0.583,4.91829616192625e-07,"acapEC"
"Epb41",1.80218854067786e-07,0.358947897845656,0.393,0.293,0.0031972626900165,"acapEC"
"Tns2",1.83867008139953e-07,0.353818339217647,0.474,0.375,0.0032619845914109,"acapEC"
"Mrpl52",4.26235800780461e-07,0.344476286420934,0.397,0.297,0.0075618493416461,"acapEC"
"Gas5",2.83705467557033e-09,0.325826219068377,0.638,0.526,5.03321869992933e-05,"acapEC"
"Dennd6a",2.35526428750993e-06,0.309193140404131,0.432,0.332,0.0417847437247138,"acapEC"
"Rpl23a",4.49206583663772e-22,0.306817219148137,0.963,0.911,7.96937400077897e-18,"acapEC"
"Pcnp",1.62118763848319e-06,0.29706830184854,0.572,0.476,0.0287614898943303,"acapEC"
"Ndufb2",4.45469034045658e-08,0.293504991176362,0.517,0.392,0.0007903066133004,"acapEC"
"Ppdpf",1.40253617960722e-06,0.291559648088132,0.469,0.365,0.0248823943624117,"acapEC"
"Kifc3",1.90165586374194e-06,0.273604189635165,0.391,0.294,0.0337372766786458,"acapEC"
"Lsr",1.21596245781359e-08,-0.268385620017583,0.824,0.832,0.0002157238996407,"acapEC"
"Gpx1",2.70663924835782e-06,0.259184102257825,0.823,0.761,0.0480184869051161,"acapEC"
"Hnrnpab",6.29493144107789e-07,0.254898767493284,0.608,0.504,0.0111678378696163,"acapEC"
"Cyb5r3",9.38679834036072e-07,0.253925367291179,0.543,0.441,0.016653118935634,"acapEC"
