gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Dipk1a,7.42768382864143e-26,-0.298260389672596,0.242,0.326,1.31774538803928e-21
Pik3r3,2.45920753474863e-19,-0.296596733546586,0.266,0.336,4.36288008739754e-15
Slco1a4,3.25049179783242e-73,-0.296379725563205,0.985,0.983,5.76669749853449e-69
Cfh,1.14857072891863e-17,-0.294174468824513,0.133,0.197,2.03767933017455e-13
Ptprg,8.2375341394042795e-50,-0.292144111794525,0.953,0.96,1.46142093167171e-45
Lmntd1,3.07592568966677e-20,-0.288366375697747,0.211,0.287,5.45699976603782e-16
Tspan5,1.26679776733119e-39,-0.288105488954099,0.834,0.854,2.24742591902227e-35
Nxpe2,2.2549387904495102e-23,-0.285946209210448,0.246,0.326,4.0004869081364702e-19
Ist1,1.00623912631135e-25,-0.28497515832157,0.273,0.356,1.78516883398897e-21
Sh3rf1,3.3249661324655104e-19,-0.284081310342295,0.344,0.412,5.8988224156070705e-15
AC149090.1,8.33444622680625e-21,-0.283092462790325,0.383,0.448,1.4786141050977002e-16
Orai1,7.479286410267e-21,-0.281901381929199,0.311,0.382,1.3269002020454699e-16
Ildr2,3.6820114010533e-28,-0.279555027645986,0.12,0.201,6.53225642660866e-24
Prr5l,9.64676581204816e-21,-0.279479862560653,0.209,0.282,1.71143272271546e-16
Tbx3,8.6478127832183e-23,-0.277453701950888,0.476,0.546,1.53420846587076e-18
Fam13c,9.186916372860981e-20,-0.275720319063426,0.596,0.635,1.6298508337092702e-15
Cadm1,8.78509072277934e-19,-0.274143077850307,0.214,0.285,1.55856294512828e-14
Pabpc1,2.602453011256e-23,-0.272757309119067,0.517,0.58,4.61701188726928e-19
Neat1,4.30836067753693e-20,-0.272522171227259,0.397,0.463,7.64346267801827e-16
Lima1,6.69643152541906e-23,-0.272253480360042,0.58,0.645,1.1880139169246e-18
Polk,4.46287050734825e-23,-0.271004867269777,0.682,0.723,7.91757856708652e-19
Epha4,1.15007512011424e-18,-0.26891545433975,0.352,0.42,2.04034827059467e-14
