gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cdkn1a,0.0,1.09105701012911,0.899,0.682,0.0
Depp1,7.695135578555651e-112,0.896919883970484,0.471,0.258,1.36519400299156e-107
Tsc22d3,2.05503603284075e-200,0.803620838094067,0.871,0.713,3.6458394258627703e-196
Pim3,6.48858407746796e-164,0.764744838199531,0.725,0.49,1.15113970118359e-159
Rgcc,3.5660864882376597e-125,0.756440996027492,0.846,0.729,6.3265940387824305e-121
Ccn2,1.69748642092183e-51,0.704272352371185,0.303,0.173,3.0115106593574103e-47
Nfkbia,4.01190068820033e-293,0.695940501527533,0.979,0.939,7.117513010936199e-289
Ddit4,9.488575623435371e-110,0.692346877901708,0.513,0.294,1.68336820135367e-105
Mt1,1.93356361189077e-120,0.683772298036219,0.844,0.72,3.43033520385541e-116
Zbtb16,4.18358557463576e-121,0.682563089604195,0.533,0.306,7.422099167961299e-117
Rpl35,2.97901723354239e-208,0.627063933947404,0.884,0.711,5.285074474027549e-204
Apold1,5.40942515031557e-84,0.590819055946274,0.667,0.487,9.59686115917485e-80
Btg2,3.0119050728714e-82,0.583872702020916,0.728,0.56,5.34342078978115e-78
Bcl2l1,4.17472837667985e-128,0.582113684989418,0.741,0.531,7.40638561306772e-124
Txnip,3.72665120114123e-99,0.565770260926212,0.713,0.519,6.61145189594465e-95
Xdh,1.47611344093283e-74,0.564695096496315,0.74,0.603,2.61877285555894e-70
Fam107a,1.75100613432686e-100,0.559042902425982,0.379,0.185,3.10645998290928e-96
Tmcc3,5.71264980297691e-85,0.536286915239552,0.59,0.399,1.01348120154613e-80
Cttnbp2nl,5.13111341126948e-86,0.532706845907047,0.651,0.473,9.10310830293319e-82
Angptl4,7.04408595379704e-74,0.527723940019863,0.194,0.068,1.24969128906313e-69
Fam117b,2.44705440977683e-80,0.52544603603195,0.615,0.437,4.34131922838507e-76
Tmsb10,1.0575460775490799e-55,0.523748717832328,0.841,0.768,1.87619249617982e-51
Net1,1.12589330952463e-63,0.51261659331983,0.56,0.4,1.99744732042764e-59
Ndrg1,2.2031616458738298e-123,0.507038714492118,0.942,0.881,3.90862907594476e-119
Rps27,2.2064008963895e-227,0.500034837731191,0.983,0.963,3.91437583028461e-223
S1pr1,1.16660911812886e-165,0.49059887748711,0.967,0.921,2.06968123647241e-161
Rpl37,2.1241191745477402e-210,0.488153130253728,0.981,0.965,3.76839982756514e-206
Rpl41,2.0183030556300698e-280,0.486302452490746,0.99,0.981,3.5806714509933097e-276
Dusp1,2.63302675854187e-88,0.483659365791041,0.852,0.699,4.67125277232913e-84
Trp53inp1,2.5145605969218e-82,0.480322268305632,0.261,0.107,4.46108195499897e-78
Snrk,3.05641774527256e-93,0.478170598569369,0.78,0.617,5.42239072188806e-89
Plat,4.3152769857815e-77,0.476330891916813,0.855,0.742,7.65573290047496e-73
Mt2,4.547435571026749e-62,0.469175075171501,0.562,0.395,8.067605446558551e-58
Rpl36,1.08819257558581e-181,0.459927359899202,0.974,0.937,1.9305624483467898e-177
Cebpd,3.88855444749481e-41,0.45847382574434,0.405,0.275,6.89868444530055e-37
Pglyrp1,5.54227936070887e-92,0.455949712349173,0.974,0.949,9.83255781383361e-88
Maff,3.0228377484900097e-83,0.453616208402275,0.303,0.137,5.36281644959613e-79
Hspb1,9.13141135434259e-102,0.451450865999329,0.981,0.972,1.6200036883739202e-97
Sesn1,4.2765580530066994e-57,0.449105059556816,0.564,0.406,7.58704164183919e-53
Proser2,3.8820486499985e-65,0.439819566362059,0.537,0.363,6.88714250996234e-61
Cdc42ep3,4.4591092714704796e-36,0.43901114979608,0.57,0.453,7.910905758515771e-32
Tmem252,9.485401407389179e-33,0.435059288422993,0.51,0.399,1.68280506368491e-28
Galnt15,5.32201733396115e-68,0.431971877996201,0.343,0.182,9.44179095218048e-64
Rpl37a,1.36183626569586e-198,0.429752480466262,0.985,0.974,2.41603371897102e-194
Rpl10,4.5833225719497506e-117,0.427426710550591,0.919,0.837,8.13127257489606e-113
Rpl39,2.36497802376336e-128,0.421025116009415,0.956,0.905,4.19570751195858e-124
Rps21,2.1533913725486098e-179,0.419416153534387,0.988,0.972,3.82033163403849e-175
Paqr5,5.0387141704713005e-92,0.416635154487076,0.911,0.812,8.93918280983313e-88
Nostrin,2.94316678926988e-113,0.408890757073479,0.962,0.917,5.22147220084369e-109
Rps29,1.57596797071049e-207,0.405040536141803,0.991,0.987,2.79592477683749e-203
Irf2bp2,6.14592180064762e-72,0.404406214460628,0.546,0.356,1.0903479866528902e-67
Ttll7,2.7411976187438003e-74,0.403877277246991,0.802,0.664,4.86315869541338e-70
mt-Co1,1.61687046506596e-180,0.395010843687666,0.989,0.99,2.8684898920735098e-176
Fzd4,1.2970969158924301e-58,0.393180861072845,0.599,0.436,2.3011796384847602e-54
Atp5e,1.26481330542623e-88,0.392213295715547,0.877,0.773,2.24390528515668e-84
Tomm6,5.3920310223696e-68,0.390298731616131,0.588,0.401,9.5660022367859e-64
Rpl36a,5.96137631609499e-90,0.385861671972026,0.885,0.77,1.0576077722384101e-85
Egr1,4.30176637825636e-29,0.383983965863016,0.122,0.055,7.6317637316646e-25
Rplp2,8.91402475764379e-132,0.381443230446806,0.968,0.935,1.58143713225359e-127
Ucp2,5.51375173069241e-49,0.377898483305045,0.767,0.654,9.781946945421401e-45
Rpl38,7.18790870282484e-169,0.374784276556539,0.989,0.989,1.2752068829681598e-164
Rasd1,9.04505956516838e-20,0.373106585380608,0.311,0.228,1.6046840174565201e-15
Klf2,2.6721523276689397e-83,0.37255783881972,0.984,0.97,4.7406654445174695e-79
Rplp1,6.94928981808521e-162,0.372360662455728,0.988,0.979,1.2328735066265e-157
Ndufa7,3.91298221698242e-77,0.372080753828142,0.905,0.821,6.942021751148521e-73
Ccny,7.37185767313847e-61,0.370060969506335,0.781,0.657,1.3078412697915e-56
Ackr3,3.51563414455392e-26,0.369226320751585,0.368,0.266,6.237086535853109e-22
Klf9,1.96415442733235e-58,0.367859433590308,0.825,0.705,3.48460636953032e-54
Cd59a,1.0188704644862799e-42,0.36638695730517,0.762,0.654,1.80757809104511e-38
Pnpla2,2.5182806089338898e-48,0.365830844148704,0.538,0.386,4.4676816283096203e-44
Cavin2,9.243610370867081e-58,0.363724606131456,0.894,0.82,1.63990891589553e-53
Sec14l1,1.20761612972969e-47,0.362605178475624,0.564,0.415,2.1424317757534398e-43
Cox7c,1.23468103548783e-78,0.357312765893801,0.883,0.784,2.19044762505896e-74
Rpl31,1.12737064032556e-76,0.356667135199495,0.898,0.817,2.00006825300158e-72
Acer2,5.85745436524834e-40,0.356511526657222,0.578,0.442,1.0391709789387101e-35
Map3k6,2.2058476405289302e-58,0.355887723557963,0.329,0.179,3.91339429906238e-54
Pik3ip1,8.08583492684961e-50,0.349825768426312,0.665,0.516,1.43450797437239e-45
Mcf2l,6.872035206767961e-47,0.349181353162789,0.747,0.623,1.2191677660327e-42
Rpl35a,8.88295106180521e-127,0.34898380142969,0.984,0.973,1.57592434787486e-122
Plxna2,3.41828523043924e-43,0.34872762912741,0.674,0.549,6.06437982732225e-39
Rpl30,1.7761218356570702e-109,0.342653225463053,0.976,0.958,3.1510177486392103e-105
Bnip3,3.67949283069828e-37,0.339350054035792,0.432,0.303,6.52778823094181e-33
Bst2,5.8031162863671e-31,0.337832924099347,0.579,0.466,1.02953086036439e-26
Doc2b,1.64070047599361e-70,0.337832517712547,0.123,0.025,2.91076671446026e-66
Hspe1,5.7534267847691105e-46,0.337480478403104,0.544,0.395,1.02071544588589e-41
Cdc42ep4,9.326150701479151e-52,0.335867132240207,0.357,0.209,1.65455239594942e-47
Rps15a,4.30961144892666e-109,0.33573202648621,0.969,0.931,7.64568167154079e-105
Clip1,1.85905693736872e-46,0.332934885411491,0.819,0.723,3.2981529125858394e-42
Sash1,7.37675813905775e-44,0.330813600862792,0.761,0.649,1.30871066145023e-39
Tmem204,3.39648347348787e-55,0.327869375845069,0.817,0.695,6.02570133031483e-51
Gng5,4.1114817338377504e-76,0.327572975051375,0.948,0.912,7.29417974400156e-72
Stra6,9.102434331478279e-34,0.324779296089353,0.416,0.292,1.61486287474756e-29
Fas,1.5600234071385502e-47,0.324588223241998,0.672,0.529,2.76763752660451e-43
Tomm7,7.826390827830839e-55,0.324549376745978,0.793,0.658,1.38847999676547e-50
Adipor2,1.4230821592504198e-42,0.323373276665808,0.73,0.609,2.52469005872618e-38
Rps28,1.93571556365163e-62,0.323062790229355,0.92,0.867,3.43415298147436e-58
Sult1a1,3.92373920452314e-42,0.321386317104732,0.345,0.213,6.96110572274451e-38
Hmgcs2,5.07393162107197e-32,0.321320551660312,0.406,0.29,9.00166208894379e-28
Fnbp1l,1.2151684593873799e-49,0.321188176201424,0.869,0.789,2.1558303637991602e-45
Lrrc8a,1.0656139993171499e-42,0.320831260962738,0.45,0.309,1.89050579618856e-38
Rps26,4.56577555886186e-80,0.318985527117993,0.947,0.893,8.10014241897683e-76
Rps17,1.86066376531152e-74,0.318633557276532,0.926,0.872,3.30100358603916e-70
Atp5md,1.51302793304221e-47,0.31723986121316,0.658,0.509,2.6842628560101798e-43
Zfp36,1.45108761495728e-38,0.315435547626915,0.61,0.469,2.57437453769571e-34
Camk2n1,2.63880240264647e-38,0.311172197729954,0.471,0.33,4.6814993425351e-34
Rnf103,9.69161536766317e-32,0.309319038608819,0.369,0.256,1.71938948237712e-27
Rpl23,4.02823707007734e-96,0.306730517883243,0.977,0.965,7.14649538602421e-92
Spry1,1.46146618774036e-49,0.30667078334625,0.279,0.149,2.59278716367017e-45
Ndufc2,1.51295807709465e-43,0.306615712618167,0.704,0.572,2.68413892457362e-39
Pllp,8.08486816160579e-45,0.306545975935134,0.689,0.544,1.4343364605504798e-40
Rpl34,8.74923433800094e-98,0.30641870977232,0.978,0.96,1.55220166390475e-93
Ccdc85a,2.8459803236949e-25,0.304871526699909,0.584,0.478,5.0490536922671205e-21
Akap12,2.62666610588007e-27,0.304635487170399,0.863,0.801,4.65996833844184e-23
Ralbp1,1.35018281160243e-33,0.304137582205235,0.743,0.653,2.39535932606387e-29
Rhob,2.11365807518042e-49,0.303511118810007,0.884,0.796,3.74984079117758e-45
Ranbp9,1.77453167401231e-28,0.297218050464359,0.45,0.338,3.14819664286524e-24
Sem1,9.199829195420891e-54,0.294217239250982,0.863,0.771,1.6321416975596199e-49
Irak2,1.48398627093659e-37,0.294074734497347,0.388,0.257,2.63274004326861e-33
Kbtbd11,1.89076807703839e-38,0.29362976277663,0.388,0.258,3.35441164547381e-34
Snrpg,9.37423110533341e-48,0.29345573140843,0.732,0.594,1.6630823403972e-43
Eif1,3.25142410555945e-98,0.290517707358065,0.982,0.965,5.768351505673019e-94
Slc2a1,4.67451821881108e-74,0.289422192619975,0.991,0.99,8.29306277199273e-70
Cox6c,4.43791902204284e-52,0.288323029314356,0.872,0.797,7.8733121370062e-48
Ctla2b,1.65546027852502e-27,0.288123649577158,0.517,0.395,2.9369520801312404e-23
Ost4,2.86522975511618e-43,0.287870714203105,0.66,0.509,5.08320410855162e-39
Ccdc152,1.8051853491422098e-30,0.28679117402914,0.202,0.115,3.20257932791319e-26
S100a13,7.90660260915858e-48,0.285118046803872,0.888,0.814,1.40271036889082e-43
Cox6a1,7.20426376080225e-44,0.283819005604314,0.756,0.621,1.27810843380393e-39
Rpl22,9.171224100421401e-59,0.283557393582703,0.941,0.888,1.62706686765576e-54
Hsp90ab1,2.82249522526474e-78,0.282633438351965,0.996,0.991,5.00738877914218e-74
Ndufa3,1.47863677638189e-41,0.279394415062342,0.67,0.529,2.62324950497912e-37
Gimap6,6.34041337596489e-32,0.278155314955826,0.789,0.685,1.12485273702993e-27
Rps23,1.66015073646757e-80,0.276964839384275,0.977,0.965,2.94527342156711e-76
Rpl28,2.7845574187971802e-73,0.27676255874252,0.976,0.953,4.94008331668807e-69
Ppp2r2d,6.04939718026094e-35,0.27673923693948,0.547,0.419,1.0732235537500899e-30
Rps15,9.69650044810633e-72,0.276133972534907,0.968,0.941,1.7202561444985402e-67
Cox17,3.4271386329809997e-35,0.276113121521155,0.608,0.478,6.08008664877159e-31
Lpin2,8.27004897469788e-30,0.275288893352947,0.235,0.142,1.46718938860115e-25
Atox1,4.46302482613436e-62,0.274812463972007,0.956,0.918,7.91785234404497e-58
Zhx3,9.04156427226664e-26,0.27419480977291,0.469,0.362,1.60406391754282e-21
Timp3,3.69248643443058e-36,0.272778531352537,0.893,0.833,6.55084018332329e-32
B4galt4,1.8385065737630702e-35,0.27069807555626,0.669,0.536,3.26169451251307e-31
Dpm3,5.9535068670926294e-30,0.270203711843154,0.554,0.428,1.0562116532909e-25
AW112010,5.17695126677146e-19,0.269999310493146,0.556,0.463,9.184429242379251e-15
Tmc7,9.271535551124461e-35,0.269696244330335,0.507,0.369,1.64486312212499e-30
Cox7a2,5.46348572518115e-49,0.269187700830813,0.838,0.729,9.692770025043871e-45
Klf6,2.36488191734082e-31,0.268635548424474,0.819,0.745,4.19553700955434e-27
Prss23,6.98471276347261e-28,0.268530488793872,0.521,0.403,1.23915789136768e-23
Eno1,2.10413717972585e-40,0.268332111870355,0.364,0.231,3.73294977055163e-36
Gng11,6.817805877052279e-36,0.266106810237042,0.915,0.868,1.2095469406478402e-31
Rps12,4.81035646118615e-73,0.264457374471864,0.981,0.967,8.534053397790339e-69
Hist1h4d,1.0624759038332099e-34,0.263805482679935,0.416,0.283,1.88493850099051e-30
Susd6,6.23078487103114e-38,0.263299325765131,0.565,0.423,1.10540354396963e-33
Tpt1,7.36698136212361e-108,0.260802529611051,0.992,0.991,1.30697616345435e-103
Chchd2,2.26215879598519e-67,0.26042234911245,0.968,0.941,4.0132959199573303e-63
Atp5j2,1.95531433666338e-44,0.259812653448118,0.811,0.695,3.4689231646745e-40
Sgk1,2.2121778125924302e-24,0.259265339041106,0.534,0.43,3.9246246573202303e-20
Ccnd3,2.14300336348423e-26,0.256337699506474,0.592,0.476,3.80190226715737e-22
Csrnp1,4.00362982058062e-53,0.255833593340519,0.15,0.052,7.10283966469207e-49
Rps19,3.7310747949144503e-65,0.255722600840121,0.974,0.955,6.619299793657731e-61
Sec61g,2.40415749856954e-34,0.254792448495233,0.697,0.568,4.26521581821223e-30
Slc7a5,1.4852898540785398e-40,0.252954169072667,0.93,0.874,2.6350527301207398e-36
Shld1,1.11536759307807e-24,0.252565455556087,0.466,0.358,1.9787736468798e-20
Hmgb2,3.90144271511003e-23,0.252414124930178,0.527,0.422,6.92154952087671e-19
Tbc1d4,7.011372969766461e-31,0.252092921785461,0.815,0.729,1.2438876785662699e-26
Slc30a1,7.287665920921989e-26,0.250730009179196,0.746,0.662,1.29290481103077e-21
Rps24,1.75844709380611e-73,0.250167714392179,0.987,0.982,3.1196609891214297e-69
