gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Apoe,4.68145747827022e-103,-1.30688035848201,0.738,0.943,8.54927764681708e-99
Edn1,7.29642107362961e-45,-1.24350677751745,0.173,0.459,1.3324724164662398e-40
Klf2,1.28316092924566e-116,-1.20576148106482,0.926,0.987,2.34330848898843e-112
Bsg,5.12969159978521e-214,-1.13471196020997,0.994,1.0,9.367842799527761e-210
Itm2a,9.95150022318339e-159,-1.0889274239667,0.977,0.995,1.8173429707577502e-154
Rpl38,1.23889431951344e-188,-1.0734060015538,0.977,0.995,2.2624688062954398e-184
Car4,4.7973021116660496e-79,-1.05334816976822,0.79,0.933,8.76083311632455e-75
Tsc22d3,4.62768380886447e-72,-1.05181556939065,0.453,0.777,8.45107617174829e-68
Pltp,7.3313396448654e-167,-0.997639711168048,0.979,0.998,1.33884924594532e-162
Sox18,9.834771409075329e-81,-0.991573144913527,0.55,0.847,1.79602595472534e-76
Crip2,5.041783253564e-121,-0.990002424744529,0.851,0.98,9.207304577658571e-117
Rps28,1.1578002407805099e-100,-0.960207645183347,0.819,0.959,2.11437479971337e-96
Vwa1,5.51639997527185e-114,-0.943452835735584,0.886,0.978,1.00740496348414e-109
Zfp36,5.08256443777198e-45,-0.936883066785558,0.363,0.659,9.28177917625919e-41
Ramp2,3.15401709726767e-113,-0.928722440299107,0.95,0.994,5.7598660230302205e-109
Uba52,1.3337668358609e-82,-0.899946570768351,0.579,0.864,2.43572499564917e-78
Dusp1,1.36801614248632e-37,-0.898320270157347,0.549,0.764,2.49827107940852e-33
Itm2b,6.05951537828594e-158,-0.896874164784694,0.971,0.995,1.1065886983825799e-153
Tmsb10,2.31049097569708e-106,-0.892449649103337,0.949,0.989,4.219418619818e-102
Actg1,1.56174503193479e-106,-0.87111381062388,0.935,0.99,2.85205877731932e-102
Tuba1a,7.54023417898835e-58,-0.869976735083623,0.633,0.855,1.37699756576685e-53
Sox17,4.06276381197848e-67,-0.86063248994377,0.571,0.85,7.4194192734351e-63
Ier2,1.69480876702275e-45,-0.858026565291499,0.441,0.723,3.09505977033695e-41
Rps21,7.263740422159541e-117,-0.857201506780094,0.958,0.992,1.32650427589478e-112
Id1,1.2538554899887501e-61,-0.838292273082022,0.831,0.949,2.2897908958174499e-57
Rps27,1.73943392669682e-107,-0.820339025005129,0.933,0.988,3.17655423693373e-103
Hspb1,4.33011377830396e-64,-0.818546174082372,0.946,0.979,7.9076537819387e-60
Gsta4,5.07579021188545e-48,-0.813333899534075,0.581,0.807,9.26940808494521e-44
Id3,1.28014586927817e-72,-0.801658418441868,0.889,0.983,2.3378023864758003e-68
Hspa8,2.8003415099860804e-111,-0.80133972408168,0.951,0.994,5.11398366553657e-107
Rhob,2.53530475703062e-48,-0.798252950946066,0.692,0.879,4.62997354728931e-44
