gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cdkn1a,0.0,1.1068102069539,0.914,0.693,0.0
Zbtb16,0.0,1.04937049299454,0.663,0.317,0.0
Hspa1b,5.2686240761726996e-123,0.921874821100246,0.685,0.501,9.32809892686377e-119
Net1,4.81899856843997e-166,0.872995213935003,0.648,0.43,8.53203696542297e-162
Ddit4,9.32349884183718e-150,0.811350318187895,0.537,0.313,1.6507254699472702e-145
Hes1,8.594783140279139e-126,0.810951171617303,0.775,0.632,1.52170635498642e-121
Depp1,3.56024601581963e-71,0.790338869127497,0.399,0.247,6.30341557100866e-67
Snrk,1.87404770421333e-215,0.773461506120844,0.812,0.624,3.3180014603097e-211
Tsc22d3,4.8873040716476e-226,0.765037593088381,0.875,0.722,8.652971858852079e-222
Ccn2,1.8678337358991e-68,0.758737478318159,0.31,0.168,3.30699962940936e-64
Fam107a,1.0640685759027899e-193,0.744146207954599,0.458,0.194,1.88393341363588e-189
Bcl2l1,4.23015202659686e-217,0.733329030587709,0.77,0.552,7.48948416308974e-213
Xdh,1.27226337163757e-142,0.683162096841711,0.781,0.623,2.2525422994843198e-138
Plat,3.76735063583292e-150,0.66705105349732,0.86,0.748,6.6700943007421895e-146
Slc7a5,2.18285937415632e-234,0.661249867399811,0.953,0.881,3.86475252194376e-230
Galnt15,1.31357060336026e-134,0.654538891528933,0.396,0.183,2.3256767532493398e-130
Rgcc,1.1059635548294801e-110,0.648627043160335,0.827,0.722,1.95810847382559e-106
Fam117b,9.95872622836704e-117,0.642644122323837,0.618,0.44,1.7631924787323801e-112
Ndrg1,1.4409455709014798e-222,0.639826558282145,0.952,0.89,2.55119413328107e-218
Mcf2l,8.753451340140541e-151,0.63612686936031,0.779,0.626,1.54979855977188e-146
Ccdc85a,6.37399983988813e-109,0.624479789846573,0.656,0.494,1.12851667165219e-104
Pim3,1.4625516789592002e-118,0.62045887794341,0.685,0.505,2.5894477475972597e-114
Cdk8,7.32145251859893e-290,0.620223513711171,0.99,0.975,1.2962631684179399e-285
Trp53inp1,6.993939141039249e-135,0.608212234543013,0.3,0.11,1.238276924921e-130
Hspa1a,8.84738081096983e-54,0.598539634016169,0.645,0.525,1.5664287725822099e-49
Nfkbia,1.2151156975464299e-231,0.59809524415577,0.982,0.947,2.15136234250595e-227
Clip1,5.20280982345633e-147,0.595872060893508,0.835,0.722,9.21157479242943e-143
Timp3,1.03901547543626e-144,0.585040733553224,0.919,0.833,1.8395768992598899e-140
Cttnbp2nl,4.72290805480421e-95,0.571171568562873,0.63,0.481,8.36190871103085e-91
Plxna2,1.31153537772212e-106,0.567752453493333,0.708,0.559,2.32207338625702e-102
Mt2,2.96071068034163e-62,0.562227938266004,0.54,0.404,5.24193825954485e-58
S1pr1,2.92495061581678e-226,0.559527289813978,0.971,0.927,5.17862506530361e-222
Pik3ip1,2.62739597438524e-106,0.548365912021098,0.697,0.526,4.6518045726490696e-102
B2m,4.2658006668914297e-159,0.539739736414613,0.962,0.913,7.552600080731271e-155
Mt1,5.77676524743819e-66,0.534822915935818,0.806,0.728,1.0227762870589301e-61
Ttll7,1.04577903397075e-112,0.519734225721648,0.797,0.675,1.85155177964522e-108
Cavin2,5.8179693615076e-111,0.511182712302201,0.903,0.833,1.03007147545492e-106
Rps29,7.26959935889718e-298,0.504045997227067,0.996,0.989,1.28708256649275e-293
Fzd4,6.46730531475175e-80,0.476492302094181,0.605,0.452,1.1450364059768e-75
Mxd4,8.49190157110399e-82,0.47327598402099,0.707,0.585,1.5034911731639599e-77
Serinc3,4.31415635690239e-152,0.470267946945445,0.962,0.925,7.63821382989568e-148
Angptl4,5.3668143476299204e-68,0.470029920951672,0.177,0.067,9.50194480247877e-64
Map3k6,7.471335092213e-85,0.468410186150422,0.352,0.186,1.3227998780763099e-80
Susd6,1.39579200846547e-80,0.464895697884681,0.591,0.432,2.47124975098812e-76
Pnpla2,3.58822277783153e-61,0.459439300143858,0.537,0.402,6.35294842815073e-57
Cyth3,1.94150636845392e-67,0.45151080811656,0.653,0.533,3.43743702534767e-63
Slc2a1,3.31427989927214e-220,0.446699120476188,0.995,0.991,5.86793256166132e-216
Rps28,9.13742593547619e-102,0.441296806178375,0.921,0.877,1.61778126187606e-97
Ccn1,4.7885917435994903e-17,0.440696429803572,0.245,0.182,8.47820168204289e-13
Tmc7,2.4698986460594102e-61,0.440388363204617,0.516,0.376,4.3729555528481796e-57
Sult1a1,4.87847291574204e-70,0.439452253209904,0.387,0.229,8.63733629732128e-66
Kbtbd11,4.3794706673875796e-55,0.429792711933864,0.413,0.275,7.7538528166097e-51
Klf9,2.36584981580576e-82,0.428356758361925,0.826,0.718,4.18873709888409e-78
Rsad2,2.24421332610673e-28,0.426620808848333,0.387,0.291,3.97337969387196e-24
Bnip3,1.21002529987634e-47,0.425738354409113,0.439,0.312,2.1423497934310598e-43
mt-Atp8,3.39564415514315e-69,0.424578468097431,0.709,0.595,6.01198797668095e-65
Selenop,6.76405854799774e-76,0.419132259501344,0.974,0.965,1.1975765659229999e-71
Irf2bp2,6.28196747731804e-65,0.418204227287786,0.516,0.366,1.11222234185916e-60
Sec14l1,5.29250583461598e-62,0.416635699545769,0.553,0.413,9.37038158018758e-58
Adgrg1,4.7645549665781e-65,0.414790890438718,0.601,0.463,8.43564456832652e-61
Ccdc141,2.59391540914318e-100,0.411940172416221,0.962,0.939,4.592527231888e-96
Tbc1d4,9.81551980118954e-68,0.411479612414022,0.816,0.742,1.73783778080061e-63
Sash1,3.88094739784943e-66,0.409262320761047,0.747,0.658,6.87121736789241e-62
Fas,7.77190282719595e-68,0.408230751115423,0.67,0.536,1.37601539555504e-63
Paqr5,6.0899033704437e-89,0.407889604990779,0.9,0.825,1.07821739173706e-84
Adipor2,8.45046167808115e-62,0.405728078472712,0.717,0.619,1.49615424010427e-57
Ccny,3.52084736292772e-65,0.40182429615068,0.75,0.672,6.233660256063531e-61
Phactr1,1.476611739622e-37,0.398252155497775,0.529,0.428,2.61434108500076e-33
Ralbp1,4.38521155100373e-59,0.396406061158787,0.746,0.66,7.7640170510521e-55
Cd59a,2.99261795342318e-46,0.396373244704778,0.742,0.666,5.29843008653575e-42
Clic4,3.7431825754928003e-88,0.395645193607251,0.938,0.902,6.6273047499099995e-84
Fnbp1l,6.75477383075987e-78,0.394664530706436,0.867,0.803,1.19593270673604e-73
Proser2,2.5279023346698797e-42,0.392637559953141,0.489,0.375,4.47565108353303e-38
Txnip,3.58534588725779e-49,0.391930976002621,0.644,0.533,6.34785489338991e-45
Shroom2,1.99798902826003e-55,0.388400714238725,0.342,0.209,3.5374395745343803e-51
Maff,3.92637535530994e-57,0.388210116852315,0.256,0.136,6.95164756657626e-53
Zhx3,9.95630509910659e-40,0.386233110555703,0.483,0.377,1.7627638177968202e-35
Hipk1,4.535587017968471e-44,0.385706725298462,0.458,0.343,8.030256815313179e-40
Prss23,5.87716538968338e-40,0.378972832030967,0.526,0.415,1.04055213224344e-35
Gm19951,8.4083570976765e-67,0.378592687057733,0.766,0.656,1.48869962414362e-62
Irak2,5.77046693936279e-44,0.378246835180755,0.384,0.265,1.02166117161418e-39
Tmcc3,1.16241300067926e-38,0.378205859165412,0.511,0.403,2.05805221770263e-34
Tceal9,3.6937960453998103e-17,0.37235859610806,0.551,0.506,6.53986589838036e-13
Sema7a,2.08838524073141e-66,0.372036322992385,0.836,0.746,3.6974860687149597e-62
Pde2a,4.80815643189726e-58,0.371491190914803,0.784,0.699,8.51284096267411e-54
Apold1,6.33309100699392e-23,0.371451455695887,0.546,0.474,1.12127376278827e-18
Nostrin,1.1140647519962699e-92,0.368305521604958,0.956,0.925,1.9724516434094001e-88
Akap12,3.4509361392074697e-42,0.367398722420537,0.847,0.802,6.10988243446682e-38
Bst2,2.6918265819937598e-30,0.365983732092399,0.601,0.518,4.76587896341995e-26
Ccnd3,3.44304111553975e-41,0.357945667349958,0.591,0.493,6.09590429506312e-37
Sgms1,2.80781072241406e-133,0.357693589063329,0.988,0.977,4.9712288840340995e-129
Hspb1,1.86299451259819e-79,0.357136447037099,0.99,0.976,3.2984317845551003e-75
Sorbs1,4.1381865845402405e-58,0.35633841812291,0.847,0.79,7.32665934792849e-54
Hsp90aa1,3.4219709115297297e-62,0.35632375518193,0.853,0.773,6.05859949886338e-58
Elmo1,3.4464321596683096e-34,0.351706871287017,0.583,0.497,6.1019081386927495e-30
Slc16a9,1.78718560910299e-37,0.351164018730992,0.518,0.412,3.1642121209168396e-33
Rpl37,2.66405306856934e-107,0.350936308190982,0.982,0.969,4.71670595790202e-103
Ccdc152,1.1016108262409201e-45,0.35085845748368,0.22,0.118,1.95040196785956e-41
Nek7,1.66478101101618e-43,0.346098325787877,0.571,0.457,2.94749478000415e-39
Cdc42ep4,3.55063937475282e-44,0.345849784083866,0.335,0.216,6.286407012999869e-40
Rps27,1.05351566456967e-108,0.343192935068543,0.982,0.969,1.86524948412061e-104
H2-Q4,1.4225886247983299e-30,0.339919667685784,0.447,0.357,2.51869316020545e-26
Slc30a1,2.1428958908326098e-49,0.339573174684604,0.758,0.678,3.7939971747191304e-45
Rapgef4,1.5281808733483701e-52,0.339393050750675,0.869,0.836,2.70564423626328e-48
Syn3,6.83261331442812e-38,0.338310739685161,0.294,0.19,1.2097141873195e-33
Sesn1,5.18785401788286e-27,0.335700749636373,0.501,0.418,9.185095538661611e-23
Ppp2r2d,4.12041106857539e-36,0.329305837993044,0.525,0.423,7.29518779691273e-32
Synm,4.03794641749548e-30,0.327020011458963,0.653,0.589,7.14918413217575e-26
Lrrc8a,1.05075985828843e-34,0.32602874629147,0.416,0.311,1.86037032909966e-30
Hsp90ab1,2.1899565907675598e-128,0.325906957324354,0.997,0.992,3.87731814395397e-124
Rpl39,1.0908942775587201e-76,0.325214718908823,0.945,0.913,1.93142831841772e-72
H2-K1,7.25597438826027e-39,0.324019307452136,0.835,0.783,1.28467026544148e-34
Sh3bgrl,3.48824981839286e-35,0.323212440474443,0.69,0.616,6.17594630346455e-31
Ranbp9,5.9382922341843696e-27,0.32042734513805,0.435,0.35,1.0513746400623399e-22
Chka,2.5934189765326002e-36,0.31964646612927,0.326,0.22,4.59164829795097e-32
Gimap6,1.0602219675859799e-30,0.316329248296948,0.755,0.694,1.87712299361098e-26
Pls3,8.043631653461131e-38,0.31215185368075,0.794,0.732,1.4241249842452899e-33
Ctla2b,3.10170995033127e-24,0.309879195982672,0.497,0.413,5.49157746706152e-20
Rpl38,3.2403416223226e-101,0.307023039602287,0.994,0.991,5.73702484232217e-97
Tmem252,2.96828021753998e-17,0.306998185196159,0.489,0.42,5.25534012515454e-13
Ucp2,3.3291235988061304e-31,0.305906521051211,0.73,0.666,5.89421333168625e-27
Dock9,8.757238823033271e-51,0.305291317587001,0.893,0.859,1.55046913361804e-46
Myrip,5.45765658598481e-34,0.304428815985538,0.374,0.268,9.662780985486109e-30
Sh2d3c,2.27217706901666e-34,0.303500386134862,0.434,0.327,4.022889500694e-30
Doc2b,5.79892587243595e-68,0.302183637947344,0.113,0.027,1.02669982571478e-63
Atp10a,7.71160820160918e-49,0.301328580136517,0.896,0.86,1.3653402320949e-44
Rps21,3.71114823400389e-91,0.300742347418,0.989,0.977,6.57058794830389e-87
Pakap.1,4.8329218274512094e-55,0.299588548353673,0.913,0.889,8.55668809550237e-51
Myh9,2.8844572946912703e-38,0.297911843141366,0.797,0.742,5.1069316402508895e-34
Klhl2,1.1304515566240602e-31,0.297772941350913,0.568,0.483,2.0014644810029e-27
Btg2,2.08608471746321e-18,0.296252504860893,0.622,0.559,3.6934129922686104e-14
Epas1,3.08161288096904e-81,0.29615138350605,0.974,0.959,5.455995605755679e-77
mt-Nd3,3.17054391235718e-45,0.295350639014427,0.853,0.802,5.61344799682838e-41
Rpl41,8.19730231882157e-102,0.293828677074648,0.99,0.984,1.45133237554736e-97
Pdcd4,4.96812518275443e-28,0.292737539443294,0.412,0.317,8.79606563606672e-24
Rpl37a,1.8226075648455901e-88,0.292569729697134,0.986,0.978,3.22692669355912e-84
