gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tfrc,1.20628472971055e-144,-0.695428046606621,0.512,0.684,2.13572711395253e-140
Jund,2.0538675055858003e-149,-0.659313152708527,0.787,0.861,3.63637241863965e-145
Frmd5,8.469273743767779e-70,-0.572499628714719,0.277,0.411,1.49948491633409e-65
Tmtc2,1.4209951466194599e-126,-0.546232764583467,0.795,0.887,2.51587190708975e-122
Ndnf,3.0052405105742103e-61,-0.513263836140321,0.247,0.374,5.32077832397164e-57
Cobll1,1.2731886215251501e-131,-0.510363850221227,0.665,0.788,2.25418045441027e-127
Slc6a6,7.286417915021129e-229,-0.508291922841096,0.903,0.962,1.29006029185449e-224
Usp53,5.56812402151946e-91,-0.489282730498592,0.48,0.62,9.8583635801002e-87
Cldn5,0.0,-0.450796586878156,0.997,0.998,0.0
Ier3,3.9972305644457e-43,-0.437873109705179,0.436,0.543,7.07709671435112e-39
Grb14,2.6711230550878e-86,-0.430739822316534,0.524,0.667,4.72922336903295e-82
Grrp1,3.17576413206421e-96,-0.426603174847828,0.575,0.719,5.6226903958196894e-92
Sema6a,1.96904037716343e-75,-0.420400635956115,0.437,0.586,3.48618598776786e-71
Jun,1.09787359526242e-45,-0.419462267107973,0.843,0.881,1.94378520041212e-41
Gsta4,6.38573745998377e-66,-0.418364905457245,0.578,0.688,1.13059481729013e-61
Lmo2,2.18726760705537e-84,-0.417349768783825,0.622,0.741,3.87255729829153e-80
Adamts1,1.33514695840383e-45,-0.39511226028844,0.3,0.411,2.36387768985398e-41
Kdr,4.60398023199132e-83,-0.394277076795194,0.727,0.822,8.15134700074063e-79
Bsg,1.13852922743529e-289,-0.387003338713163,0.999,0.999,2.01576599717418e-285
Vwf,6.35250894813461e-34,-0.384322055693883,0.331,0.425,1.12471170926723e-29
Pcp4l1,8.79121876477605e-106,-0.380287672517066,0.832,0.905,1.5564852823036e-101
Lmntd1,1.9007519937215298e-57,-0.377971835986252,0.189,0.307,3.36528140488397e-53
Tubb4b,8.14640056015996e-69,-0.374045645497157,0.52,0.647,1.44232021917632e-64
Cfh,7.07724546345265e-23,-0.373925787694744,0.237,0.31,1.25302630930429e-18
Layn,1.23863134945785e-69,-0.370487196072709,0.438,0.578,2.19299680421512e-65
Fut8,1.92189677299605e-74,-0.37002505345887,0.646,0.764,3.4027182365895e-70
Lrrn3,1.06334967809192e-54,-0.354432094164206,0.236,0.359,1.8826606050617498e-50
Fos,3.9117941419445905e-31,-0.35141128044146,0.301,0.394,6.92583152831289e-27
Apcdd1,1.10655987070289e-71,-0.346880081041555,0.675,0.792,1.9591642510794603e-67
Lama4,5.38915723295375e-60,-0.346668371804157,0.168,0.285,9.541502880944619e-56
Stox2,1.6778145166570399e-43,-0.342934219006201,0.365,0.477,2.97057060174128e-39
Fosb,3.69403887217249e-76,-0.340975475808342,0.064,0.173,6.54029582318139e-72
Csrp2,3.03573242763273e-53,-0.330906937419399,0.613,0.718,5.37476426312374e-49
Nkd1,2.7076716714471198e-43,-0.329100494680162,0.478,0.581,4.79393269429712e-39
Ifnar1,9.151219068094861e-60,-0.327609493898852,0.565,0.675,1.6202233360062e-55
Ldha,5.4797642073240095e-49,-0.321295732857316,0.679,0.762,9.701922529067161e-45
Dipk1a,4.4691667079600406e-58,-0.319742632811152,0.233,0.359,7.912659656443261e-54
Itm2a,1.86361653105152e-105,-0.319391431801564,0.982,0.985,3.29953306822672e-101
Maoa,1.33597140473631e-62,-0.319056634942608,0.641,0.74,2.3653373720856502e-58
BC028528,1.6270115119325298e-57,-0.317626654648878,0.659,0.749,2.88062388187654e-53
Hs3st1,8.77524614439821e-50,-0.316302897636783,0.166,0.274,1.5536573298657e-45
Tgfb2,2.5332179207799e-34,-0.308763231896095,0.306,0.402,4.4850623287408195e-30
Vwa1,1.5714221169680202e-91,-0.306357552634754,0.925,0.948,2.78220285809189e-87
Slc38a5,1.81877441211521e-24,-0.30260597356632,0.244,0.319,3.22014009664998e-20
Vim,1.51041547774949e-69,-0.302605708514774,0.922,0.949,2.67419060335548e-65
Ccdc85b,4.70301708386831e-74,-0.302183698982774,0.745,0.835,8.32669174698885e-70
Dach1,1.17479944983312e-33,-0.301705794501552,0.419,0.516,2.07998242592954e-29
Ebf1,4.5921840037716696e-55,-0.298794981713509,0.855,0.9,8.13046177867773e-51
Sgpp2,2.73428981296147e-48,-0.297562910375903,0.412,0.534,4.84106011384828e-44
Id2,2.31297528035225e-41,-0.293432862831333,0.226,0.328,4.09512273386366e-37
H2afz,8.221542867519081e-52,-0.2933315878952,0.607,0.706,1.4556241646942501e-47
Dbp,1.1919071539388398e-43,-0.292592186906279,0.145,0.24,2.11027161604872e-39
Tnfrsf19,3.1625952103189e-42,-0.292256679765238,0.403,0.508,5.59937481986961e-38
Klf12,5.40656107453458e-45,-0.291951185393207,0.683,0.767,9.57231638246348e-41
Orai1,3.05865433112522e-46,-0.289879578084439,0.327,0.44,5.4153474932572e-42
Prr5l,2.6844217982945003e-48,-0.287296860132423,0.19,0.299,4.752768793880421e-44
Gm26532,4.22707834711461e-38,-0.286740466847957,0.18,0.273,7.48404221356642e-34
Ncoa4,2.1841757889721998e-41,-0.285688989914037,0.247,0.349,3.86708323437529e-37
Apoe,9.48584439991174e-40,-0.284712252669281,0.882,0.912,1.67946875100437e-35
Ptprm,4.49835791161815e-53,-0.281638058554109,0.861,0.905,7.96434268251994e-49
Nampt,2.9287932054091e-26,-0.275199616886278,0.408,0.487,5.18542837017682e-22
H3f3a,1.69058229129192e-106,-0.274753546092565,0.957,0.972,2.99317594673234e-102
Alas1,6.265626991953539e-40,-0.274732295711023,0.711,0.783,1.10932925892537e-35
Adgrl2,8.59449610567357e-40,-0.274699976279745,0.587,0.677,1.52165553550951e-35
Ifnar2,5.49973084382208e-54,-0.274617224262957,0.727,0.809,9.73727345898699e-50
Ier5,3.87969255237663e-49,-0.274316270435563,0.511,0.631,6.86899566398283e-45
Fryl,5.85605428360313e-33,-0.273598641296367,0.52,0.606,1.03681441091193e-28
Hhex,3.20953887069506e-50,-0.272899557154529,0.12,0.22,5.6824885705656005e-46
1810037I17Rik,3.95963170912847e-53,-0.271609782243531,0.725,0.8,7.01052794101195e-49
Gm10076,4.22593817042223e-43,-0.271221150640576,0.45,0.556,7.48202353073256e-39
Tnfsf10,5.19691901390405e-42,-0.268734696791077,0.298,0.408,9.20114511411713e-38
Glcci1,7.12607343412446e-41,-0.268423167947393,0.23,0.334,1.2616713015117399e-36
Ets1,2.25755692733783e-46,-0.267416914551951,0.763,0.834,3.9970045398516293e-42
Epha4,1.0857315641608701e-35,-0.265630486418157,0.372,0.473,1.9222877343468202e-31
Sox17,1.0841140567688899e-48,-0.265347538977334,0.754,0.831,1.9194239375093101e-44
Cxcl12,6.47836809411802e-19,-0.264428113975118,0.916,0.923,1.14699507106359e-14
Xist,2.14267166206388e-19,-0.263766300586019,0.331,0.399,3.7936001776841e-15
Gm9946,1.5925225492095902e-17,-0.259198719359853,0.149,0.202,2.81956117337558e-13
Pop5,1.6500411299712999e-43,-0.25347094147656,0.458,0.573,2.9213978206141802e-39
Tek,6.37525019756371e-46,-0.253453693984292,0.816,0.868,1.12873804747865e-41
Cst3,8.27008725369075e-56,-0.250897335284814,0.937,0.958,1.46421894826595e-51
Snx3,1.8959527264033297e-55,-0.250648570911177,0.832,0.884,3.35678430209709e-51
Dnm3,2.08605004466834e-33,-0.250113656772913,0.747,0.81,3.6933516040853e-29
