gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cdkn1a,6.4705104503549396e-102,1.27651941340335,0.945,0.668,1.14560387523534e-97
Zbtb16,4.76929427396664e-95,1.14173959884089,0.791,0.348,8.444035512057941e-91
Rgcc,5.81048933896454e-55,1.02235835470333,0.814,0.498,1.02874713746367e-50
Hspa1b,1.29096532491791e-35,0.996451486664777,0.793,0.565,2.2856541077671703e-31
Ddit4,9.07048682092601e-48,0.984558854704944,0.713,0.429,1.60592969164495e-43
Net1,1.17666747155822e-53,0.933232582893223,0.883,0.719,2.08328975839382e-49
Hes1,2.85468258814121e-32,0.868195283730049,0.796,0.615,5.05421552230402e-28
Snrk,1.07084470257683e-47,0.811749105779507,0.848,0.633,1.89593054591228e-43
Hspa1a,7.648497767186081e-24,0.786747487718471,0.756,0.568,1.3541665296803e-19
Mcf2l,6.35976889775851e-49,0.759141652707617,0.837,0.623,1.1259970833481402e-44
Plat,4.90160349006213e-48,0.756835331012344,0.912,0.78,8.678288979154999e-44
Tsc22d3,2.0473661004428598e-49,0.746146557013939,0.912,0.767,3.62486168083408e-45
Fkbp5,8.61079021791709e-50,0.738764109044635,0.324,0.063,1.52454040808222e-45
Fam107a,3.503593797158e-46,0.735179581985062,0.558,0.246,6.203112817868229e-42
Ndrg1,1.8343687255423402e-61,0.730416559162737,0.98,0.916,3.2477498285727097e-57
Slc7a5,2.13596893244442e-52,0.730354644928323,0.966,0.889,3.78173299489285e-48
Mt1,1.9590573986646e-23,0.707199614754403,0.88,0.785,3.46851112433568e-19
Bcl2l1,2.0136731253297702e-45,0.697612638408959,0.829,0.608,3.56520826839637e-41
Cttnbp2nl,2.5840662047834297e-41,0.693589824653228,0.78,0.548,4.57508921556906e-37
Trp53inp1,6.63509660765042e-42,0.687795965911048,0.409,0.137,1.1747438543845101e-37
Ccdc85a,2.1462823047639e-33,0.68320914686824,0.791,0.627,3.7999928205844797e-29
Pik3ip1,2.95069194103847e-39,0.652760952230383,0.777,0.539,5.22420008160861e-35
Timp3,3.9054153205634695e-34,0.628464522070693,0.925,0.796,6.91453782505762e-30
S1pr1,2.98218726268413e-46,0.627974876746674,0.978,0.898,5.27996254858226e-42
Fam117b,2.00981557273397e-26,0.615765810076786,0.639,0.421,3.5583784715255003e-22
Fzd4,3.28140738059655e-29,0.59674074352603,0.736,0.521,5.8097317673462e-25
Mxd4,1.38172985492319e-32,0.591413635269138,0.813,0.609,2.4463527081415097e-28
