gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Anxa3,1.0134683938955199e-56,-0.599699160503999,0.845,0.955,1.850795980932e-52
Cavin3,6.55348892089069e-39,-0.596098478226889,0.605,0.827,1.1967981467330599e-34
Ptprr,2.2585585149837097e-34,-0.59533119466934,0.524,0.768,4.12457956006324e-30
Pon2,9.68021217450411e-43,-0.594955194926432,0.556,0.811,1.76780034730794e-38
Ltbp4,5.96723292130847e-47,-0.594277816198466,0.813,0.946,1.0897360760893499e-42
Ier5,3.5698696035281e-34,-0.591638415613395,0.439,0.712,6.519295869963009e-30
Ftl1,4.13361653779062e-59,-0.590840395026823,0.91,0.973,7.548810521313229e-55
Jun,1.5966658835573e-29,-0.586617766824438,0.766,0.917,2.9158312365523403e-25
mt-Atp8,3.96014120870322e-39,-0.583544637036486,0.43,0.718,7.23200987533382e-35
Slc9a3r2,5.62296984199533e-78,-0.581132786399169,0.982,0.993,1.02686675254519e-73
Hspa1b,8.07068523511978e-17,-0.576336313640253,0.354,0.544,1.4738685376375699e-12
Gpx1,1.3255192453826099e-33,-0.575593349908955,0.671,0.828,2.42066324591773e-29
Gm2000,3.6324522928878394e-42,-0.574725033584893,0.278,0.591,6.63358437727177e-38
Tagln2,5.165965918540721e-44,-0.574040889001779,0.824,0.933,9.434086960439069e-40
Rnaset2a,8.31942292582534e-40,-0.572457681641251,0.321,0.621,1.5192930147142201e-35
Fkbp4,1.5364525852843598e-36,-0.567506673595199,0.359,0.648,2.8058697112463e-32
Ptma,4.27853559799014e-65,-0.563777346939791,0.991,0.995,7.813461709049591e-61
Rpl6,5.68556466638573e-62,-0.562531617016084,0.95,0.986,1.0382978193753599e-57
Cfl1,1.02040112675589e-57,-0.558094431000892,0.864,0.969,1.8634565376816e-53
Rnaset2b,5.2162104093451e-36,-0.55797861920483,0.351,0.648,9.52584344954603e-32
mt-Cytb,1.6934731198328798e-78,-0.556651902750723,0.996,0.997,3.09262061143881e-74
Gm26532,1.2201048036587599e-30,-0.556036725371875,0.203,0.448,2.22815539244163e-26
Rpl41,2.49509958268612e-81,-0.555099167411834,0.981,0.992,4.5565508579014e-77
Cdkn1c,5.22245998851596e-17,-0.554873293600748,0.576,0.738,9.53725643102784e-13
Sub1,1.70751109005168e-37,-0.551474460639974,0.543,0.794,3.11825675265237e-33
Cdkn1a,3.48858761731241e-28,-0.5494200421716,0.6,0.811,6.37085870673592e-24
Fau,8.6555580177554e-74,-0.543384820896123,0.985,0.992,1.58067800520249e-69
Stmn1,5.615314148294319e-26,-0.542109711234263,0.469,0.689,1.02546866976151e-21
Rps3a1,2.15826134601026e-60,-0.541784849003761,0.963,0.985,3.9414168700839296e-56
Cd9,6.17297468213024e-23,-0.537136014761421,0.691,0.828,1.12730863645063e-18
Tsc22d1,2.48099660195569e-52,-0.534156630144645,0.974,0.99,4.53079599449147e-48
Rps5,6.08822569544509e-56,-0.533982572709236,0.929,0.983,1.11183177650218e-51
Irf7,5.403665585069391e-25,-0.533158946912122,0.215,0.437,9.86817409145371e-21
Rplp0,4.4566939479998404e-44,-0.53289698448804,0.835,0.953,8.13881448783731e-40
Cst3,4.06778384824862e-31,-0.530584670791337,0.904,0.961,7.42858686367162e-27
Ramp2,3.93922070280684e-39,-0.526044848540166,0.933,0.97,7.19380484746585e-35
Isyna1,1.0840744224472699e-30,-0.523722373315802,0.399,0.657,1.9797367102732099e-26
Nfkbia,2.01282319234915e-38,-0.521965759662741,0.888,0.966,3.6758177138680096e-34
Rps7,3.97903219072577e-53,-0.517396575985784,0.935,0.979,7.266508586703389e-49
Cd81,1.4696753547567499e-40,-0.516950814864555,0.927,0.968,2.6839211328567696e-36
