gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gkn3,1.7886107469662703e-111,-1.24555027008775,0.034,0.133,3.2663609461098e-107
Klf2,0.0,-1.23715889831022,0.885,0.972,0.0
Edn1,3.2142859710794e-249,-1.17354322310619,0.223,0.465,5.86992904038521e-245
Itm2a,0.0,-1.15563037070179,0.922,0.981,0.0
Tuba1a,0.0,-1.08459806146215,0.648,0.876,0.0
Sox18,0.0,-1.07817963887315,0.581,0.856,0.0
Vwa1,0.0,-1.0752134603264,0.783,0.944,0.0
Bsg,0.0,-1.04228747190529,0.982,0.998,0.0
Tsc22d3,0.0,-1.02110065222292,0.393,0.731,0.0
Dusp1,0.0,-1.01944270009094,0.473,0.722,0.0
Hspb1,0.0,-1.01271981844695,0.919,0.972,0.0
Apoe,0.0,-0.992591813987846,0.714,0.911,0.0
Jund,0.0,-0.946640391435629,0.64,0.857,0.0
Crip2,0.0,-0.940901534553399,0.832,0.965,0.0
Rpl38,0.0,-0.936230355833422,0.944,0.99,0.0
Rps28,0.0,-0.913030603355912,0.679,0.897,0.0
Pltp,0.0,-0.897543598251269,0.946,0.992,0.0
Ramp2,0.0,-0.89661679416745,0.9,0.966,0.0
Sox17,0.0,-0.888323781841317,0.583,0.827,0.0
Car4,2.8508195518784996e-222,-0.887985904791575,0.605,0.736,5.20616666564051e-218
Hspa8,0.0,-0.880795860905694,0.907,0.985,0.0
Uba52,0.0,-0.875671707915861,0.473,0.782,0.0
Itm2b,0.0,-0.869890667120153,0.938,0.986,0.0
Gsta4,0.0,-0.844665494467771,0.421,0.684,0.0
Id3,0.0,-0.827854073999509,0.865,0.961,0.0
Bc1,8.83227658134912e-130,-0.82249977307506,0.182,0.347,1.6129503492859798e-125
Id1,0.0,-0.81614442978874,0.822,0.936,0.0
Ier2,6.37926174232663e-289,-0.810026551545521,0.418,0.689,1.1649807793836901e-284
Tubb5,0.0,-0.793970949887574,0.521,0.8,0.0
Icam2,0.0,-0.788937358478019,0.496,0.771,0.0
Actg1,0.0,-0.785847621245056,0.888,0.977,0.0
Myl12b,0.0,-0.781748316077977,0.791,0.935,0.0
Ctsh,0.0,-0.769287979381142,0.521,0.776,0.0
Cldn5,0.0,-0.764675561667883,0.989,0.994,0.0
Rps21,0.0,-0.750803149887561,0.92,0.98,0.0
Tinagl1,1.0753140454794e-295,-0.737469952872353,0.574,0.787,1.96373850985448e-291
Tmsb10,1.74303188323711e-146,-0.736450762462307,0.632,0.742,3.18312482516762e-142
Rps27,0.0,-0.733103831385112,0.898,0.973,0.0
Rps29,0.0,-0.728493070782679,0.963,0.991,0.0
Hspa1a,5.916109110053639e-122,-0.716137839198161,0.362,0.539,1.080399845678e-117
Dnaja1,0.0,-0.712271660372735,0.759,0.918,0.0
Tsc22d1,0.0,-0.701407416372399,0.896,0.978,0.0
Rhob,1.31807358948549e-271,-0.699308189836806,0.634,0.822,2.4070659891184e-267
Vim,0.0,-0.698351036175633,0.83,0.946,0.0
Hes1,2.6983330033687e-176,-0.697842853003398,0.423,0.626,4.92769573075192e-172
Ubb,0.0,-0.697814201751672,0.95,0.986,0.0
Wfdc1,0.0,-0.695539408769609,0.685,0.877,0.0
Rpl37a,0.0,-0.693035838989221,0.924,0.982,0.0
Jun,6.30057818371629e-221,-0.691424259546679,0.71,0.876,1.15061158791027e-216
Crip1,7.556415364471329e-184,-0.686864552579042,0.537,0.717,1.37995257385975e-179
Rpl37,0.0,-0.680398559045963,0.903,0.974,0.0
Hspa1b,1.14840198088788e-106,-0.674203127826293,0.346,0.508,2.0972116974974498e-102
Cst3,0.0,-0.672047923768355,0.875,0.958,0.0
Rps27rt,0.0,-0.65854882564103,0.188,0.473,0.0
Egfl7,0.0,-0.653653425664333,0.914,0.981,0.0
Isyna1,2.2067726877159e-264,-0.647846984279636,0.351,0.62,4.03000828230678e-260
Zfp36,7.25354764034669e-167,-0.646880879036416,0.289,0.497,1.32464287008011e-162
Slc9a3r2,0.0,-0.646369678680416,0.871,0.957,0.0
Csrp2,5.62263676408624e-226,-0.640909549488074,0.49,0.714,1.02680592585743e-221
Tuba1b,0.0,-0.635516688493982,0.602,0.836,0.0
Rps4x,0.0,-0.622269841083114,0.898,0.969,0.0
BC028528,3.7208439894666296e-230,-0.620097137392906,0.534,0.746,6.79500529356396e-226
Fau,0.0,-0.603031206538265,0.958,0.988,0.0
Nfkbia,0.0,-0.602172054785361,0.828,0.945,0.0
Ptprr,7.61702726318633e-161,-0.597235084127152,0.325,0.522,1.39102151880309e-156
Srgn,0.0,-0.592316650628418,0.846,0.945,0.0
Esam,0.0,-0.579006728982888,0.819,0.936,0.0
Rnaset2b,2.76437372855044e-249,-0.578930072480738,0.311,0.577,5.04829930307881e-245
Alas1,6.880533184992999e-204,-0.577885213698678,0.586,0.779,1.25652297024342e-199
Ltbp4,3.12900500536864e-236,-0.574487202661818,0.595,0.801,5.7141889408042094e-232
Lims2,2.80272939033785e-237,-0.574270410933966,0.505,0.738,5.11834441263499e-233
Stmn1,5.339187943611621e-173,-0.569602578680429,0.332,0.546,9.750425022623531e-169
Pon2,3.98278352017247e-235,-0.568330140751824,0.461,0.702,7.27335926453896e-231
Klf4,5.91421174678689e-203,-0.567514973173,0.748,0.884,1.0800533491982202e-198
Gpx4,2.7052956385733098e-280,-0.56594419894454,0.666,0.852,4.94041089516258e-276
H3f3a,0.0,-0.564849080523969,0.903,0.97,0.0
Mt1,4.26854811513758e-90,-0.564103083637082,0.562,0.677,7.79522256786425e-86
Ptn,4.29729234178498e-229,-0.564088200615052,0.841,0.936,7.84771527456773e-225
Rnaset2a,1.5440249872841e-211,-0.563433251761393,0.257,0.497,2.8196984317782198e-207
Malat1,0.0,-0.56262395103796,0.989,0.984,0.0
