gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Hsp90ab1,4.997381013345e-23,0.309049112278569,0.999,0.996,8.86585365577537e-19
Rpl39,5.698751428224049e-22,0.307913420037841,0.984,0.955,1.0110154908812301e-17
Sem1,6.5964239496492e-19,0.30567244226927,0.918,0.832,1.1702715729072601e-14
Slc7a5,7.51595311516e-20,0.303940196658333,0.957,0.908,1.3334052421605401e-15
Rpl34,1.68965170738245e-27,0.30224076509567,0.993,0.984,2.99761109406721e-23
Rps17,2.2764864552274e-21,0.298546074236296,0.967,0.932,4.03871462021893e-17
Rpl31,5.81732475981562e-17,0.294173309307986,0.953,0.908,1.03205158563889e-12
Rpl35a,1.06843193428461e-24,0.293355267976018,0.997,0.988,1.89550509461433e-20
Rpl22,1.60377518429059e-20,0.28815853115915,0.977,0.953,2.8452575544499297e-16
Tsc22d1,1.3182098009939e-17,0.285958989997068,0.988,0.984,2.33863600794327e-13
Rpl30,1.3617798101416098e-22,0.282729090866638,0.991,0.986,2.41593356117224e-18
Slc2a1,2.24460880170264e-16,0.275331686310471,0.999,0.997,3.9821604751006595e-12
Rps15a,1.25071251595591e-19,0.264368097727076,0.992,0.977,2.21888907455739e-15
Eif1,1.0789350655243499e-22,0.256493133726127,0.998,0.98,1.91413869974675e-18
