gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Klf2,0.0,-1.28947873962229,0.871,0.972,0.0
Itm2a,0.0,-1.20194847263473,0.92,0.99,0.0
Edn1,3.1762558547748005e-156,-1.14550804654351,0.199,0.421,5.80047844198975e-152
Vwa1,0.0,-1.10369528203884,0.788,0.955,0.0
Sox18,0.0,-1.0956717567607,0.561,0.846,0.0
Tuba1a,0.0,-1.09225997742383,0.64,0.873,0.0
Tsc22d3,0.0,-1.07233102938325,0.364,0.721,0.0
Bsg,0.0,-1.07067753616068,0.979,0.999,0.0
Hspb1,0.0,-1.05846719139795,0.914,0.974,0.0
Dusp1,6.044731035228909e-227,-1.04650934184442,0.444,0.695,1.1038887816534999e-222
Jund,1.03926924425271e-274,-0.97789791582555,0.618,0.841,1.8979134938542897e-270
Crip2,0.0,-0.97468551897894,0.819,0.964,0.0
Apoe,0.0,-0.953378561881368,0.703,0.91,0.0
Ramp2,0.0,-0.952825273875689,0.892,0.968,0.0
Rpl38,0.0,-0.934075443719057,0.944,0.99,0.0
Pltp,0.0,-0.923462320943005,0.941,0.996,0.0
Sox17,3.7371235316031204e-305,-0.894723063706852,0.549,0.802,6.824734993413609e-301
Gsta4,1.6482875121386601e-239,-0.882232841274343,0.402,0.678,3.01010265466762e-235
Hspa8,0.0,-0.881576152262879,0.894,0.982,0.0
Car4,2.0570995838648298e-208,-0.880846351762281,0.655,0.814,3.7566752600539494e-204
Itm2b,0.0,-0.870337440634942,0.928,0.984,0.0
Rps28,0.0,-0.86520488165119,0.647,0.871,0.0
Uba52,0.0,-0.862309480213029,0.447,0.751,0.0
Id3,0.0,-0.836838628990476,0.857,0.958,0.0
Id1,4.54043620844379e-286,-0.824037711255698,0.813,0.932,8.29174460386006e-282
Ier2,4.33665936424923e-211,-0.816251936686905,0.386,0.664,7.919607330991949e-207
Tubb5,7.196545254088141e-279,-0.79842673742091,0.499,0.777,1.31423309430158e-274
Icam2,5.55043714827685e-275,-0.797845744339334,0.457,0.74,1.0136208320183199e-270
Myl12b,0.0,-0.783465749404444,0.771,0.927,0.0
Cldn5,0.0,-0.770187195377927,0.991,0.998,0.0
Hspa1a,5.49790497731666e-86,-0.768315860767652,0.337,0.508,1.00402740695757e-81
Bc1,2.6481524605362798e-81,-0.764909159283007,0.165,0.315,4.8360560234313496e-77
Ctsh,6.638863421370561e-235,-0.764795291778186,0.477,0.737,1.21238923801069e-230
Actg1,0.0,-0.750183423222184,0.87,0.971,0.0
Tsc22d1,0.0,-0.74970190014774,0.886,0.98,0.0
Rps21,0.0,-0.724320178585035,0.908,0.976,0.0
