gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Bc1,1.9278107671908e-66,-1.55855074327688,0.182,0.527,3.4201290820732004e-62
Btg1,3.16242061619287e-43,-0.721418175155782,0.488,0.728,5.61045041518778e-39
Pdgfb,8.31015227075259e-69,-0.706870630915573,0.884,0.958,1.47430411435422e-64
Vegfc,1.70371113699819e-19,-0.66063892887829,0.419,0.583,3.02255392814849e-15
Adamts1,2.56211322589303e-19,-0.653920500739858,0.483,0.631,4.545445074056831e-15
mt-Atp8,1.81128909155234e-39,-0.604733428302044,0.512,0.722,3.213407977323e-35
Slc38a2,1.82701223704718e-24,-0.549733957919222,0.633,0.774,3.2413024097454004e-20
Gm11867,6.2812339976136e-26,-0.538432151914336,0.034,0.187,1.1143537235166301e-21
Nmt1,6.54486697928805e-36,-0.529779942089551,0.574,0.761,1.16112485079549e-31
Rapgef4,4.89060204109701e-27,-0.485981249347709,0.773,0.876,8.67641708111021e-23
Bmx,2.0313388150416702e-20,-0.483433755578788,0.664,0.799,3.60379819176542e-16
Usp53,2.7444327443983197e-16,-0.440608860072649,0.521,0.642,4.86889813183707e-12
Rpl9-ps6,9.22695693018989e-24,-0.431779988027108,0.237,0.437,1.63695442898499e-19
Dync1i2,2.51589209482051e-24,-0.420623783707628,0.81,0.904,4.46344416542107e-20
Lars2,2.29537827659771e-30,-0.407948868461034,0.929,0.97,4.07223060051201e-26
Cobll1,9.08731970594951e-20,-0.406971562781774,0.829,0.899,1.6121813890325e-15
Ap2a2,8.4099109169139e-17,-0.377003761976985,0.641,0.748,1.4920022957696998e-12
Ap2b1,1.26612163319574e-18,-0.354376069390196,0.64,0.762,2.24622638945255e-14
Ahnak,1.19227206056897e-19,-0.351630564309942,0.921,0.943,2.11520986265542e-15
Ebf1,6.6669172499328506e-21,-0.341200594698178,0.968,0.979,1.1827777893105899e-16
Ptprm,1.31851060733627e-18,-0.333459585542483,0.968,0.973,2.33916966847528e-14
Dstn,1.8730224677333003e-16,-0.314182857031791,0.891,0.952,3.32292916000565e-12
Plxdc2,2.5079270290825897e-16,-0.29920091784261,0.081,0.211,4.44931334229542e-12
Ptprb,3.5401148273066e-18,-0.290460151378313,0.992,0.997,6.28051771512464e-14
Cldn5,6.23244937634543e-25,-0.273954239064292,0.998,0.999,1.10569884385744e-20
Cdk8,2.2027081981876898e-18,-0.262151450244876,0.98,0.992,3.9078246144047903e-14
Slc6a6,6.31874420394337e-19,-0.252425953898459,0.997,0.995,1.12100840922159e-14
