gene,log2FC_from_dpi1,p_val_adj_from_dpi1,log2FC_from_dpi3,p_val_adj_from_dpi3,log2FC_from_dpi7,p_val_adj_from_dpi7
Prss23,-0.406371702711951,4.77119983637282e-13,0.82054538020972,3.12223468270623e-29,0.661628764566271,6.97505437217048e-26
Rgcc,-0.696006046002968,1.26330507087703e-50,1.23434108022596,1.46946537016933e-116,0.789656778086728,1.28365029570134e-56
Rhob,-0.966006655043067,9.03755444743826e-102,0.360667030964456,2.37900045408516e-20,0.415933992420042,5.29112831489329e-31
Rps28,-0.92361826247194,1.96427444893045e-132,0.412799359860874,1.84650595234577e-32,0.366599475874611,9.53888497461674e-33
Rps29,-0.651525581426258,4.51007520459543e-193,0.478597862432708,4.91409803069023e-123,0.418046259886393,3.04085437402366e-108
Rsad2,-0.601460765913672,1.08800553226243e-06,0.774673535699829,3.32819052028653e-15,1.39220342547696,4.12529798240939e-55
S1pr1,-0.432412660535673,2.23842972918538e-46,0.664621534420338,1.51627554811987e-114,0.729330563187161,1.47513056245617e-155
Selenop,-0.792924635298324,1.47275754628812e-154,0.391995161992293,3.51233879636137e-23,0.509774817291686,1.79653204016319e-51
Sema6a,0.6231930398554,1.90223330815925e-15,-0.797086319106063,7.04688738797574e-45,-0.460033285476708,7.57349060993404e-10
Sema7a,0.338888645496671,9.40082444088496e-09,0.268603386461898,8.89107328119604e-07,0.51019336499061,3.84801845753819e-45
Sgk1,-0.895774662542111,4.83521856369095e-37,0.588565110586911,9.8091398685174e-16,0.382324725877567,1.23152018217681e-06
Shroom2,0.718951669436237,0.0001868972055162,0.51736763327278,0.0009483905642792,1.07209494751347,7.43166467457475e-49
Slc2a1,-0.635559363691665,4.50063142900304e-190,0.374473768375881,1.15718890273985e-60,0.491881588206418,1.00008000782598e-137
Slc30a1,0.347447787418278,6.99536363655771e-06,0.294470058497043,1.56201319719128e-05,0.53826951057032,4.26324943058573e-38
Slc38a2,-0.798312428911317,9.12911138915283e-55,-0.779309903794836,3.29072395362321e-36,0.356317040754565,5.27828817232784e-11
Slc6a6,-0.382159519597458,4.16417148660691e-45,-0.758453739778248,9.60277671336433e-125,-0.761985861442719,2.8098832529899e-109
Smad1,0.800780976790766,2.26837968669789e-13,0.448273467862752,0.0016353844495071,0.392268215786784,6.26286052295797e-05
Snrk,0.643895025897079,2.01492018945561e-32,0.77241001893562,1.33573570834198e-65,1.12171628406209,5.82183328587907e-157
Sox17,-0.928667491536823,2.29209938340411e-102,-0.330095521088548,9.52452763338765e-15,-0.426238981653141,2.86715004977152e-16
Sox18,-1.27809167941797,8.23608470018327e-184,-0.345722295810758,7.737225014425e-10,-0.250708521472976,0.0016175663649701
Spns2,-0.288532379786773,0.0028891106077039,-0.847178913049976,8.63285056509315e-11,-0.832664389808755,8.28713772830254e-07
Spry1,-0.360056681123722,9.33592538342644e-07,0.908092902312742,2.96739189056087e-22,0.727004653657071,4.11494894948119e-15
Ssbp4,-0.540821083034204,1.01336024374425e-31,-0.356884702665015,5.7014341118585e-06,-0.547378858548691,4.62308088894697e-11
Stk38,-0.4093494098349,1.82161721055795e-23,-0.554234546119637,1.79410991960351e-22,-0.350199005549072,0.018062718916809
Tfrc,-0.444539743693741,1.25147637749544e-42,-1.57340461250788,1.06720802156112e-187,-0.770286046014914,1.76320033238455e-54
Tm4sf1,-0.26358368153931,6.40572234542582e-18,0.715137091025891,3.85618690721153e-40,0.398496761013349,3.75918357068134e-13
Tmc7,-0.60928641447016,4.26392594082057e-28,0.376188144071984,5.90272357117899e-06,0.820323713226019,4.33590874589173e-45
Tmem140,-0.611480515511159,1.10918843264903e-31,0.502862079027618,1.38174056141667e-09,0.454781850388325,9.04846760565874e-12
Tmem252,0.508996469316846,0.0150088117178935,0.986511081835204,3.98746159964898e-33,0.718155398670313,1.07550802913446e-21
Tmtc2,0.473170530523232,2.69849923618417e-26,-0.853555146421361,5.65906723358118e-106,-0.600910321917933,2.11623766049397e-37
Tsc22d1,-0.823810501393916,1.64372242453065e-194,0.338584765936173,1.31480578507531e-34,0.272817277316362,5.06976563892312e-26
Tsc22d3,-1.52563342303859,3.8027372464235e-187,1.1414699840204,9.71058365545676e-134,0.943247172004642,4.51540534360748e-127
Tubb5,-0.925932748022298,3.73214199996225e-106,-0.296656365578901,4.87617137006999e-09,-0.311334150554025,9.97819441955008e-07
Txnip,-0.506617818847447,2.28418019282791e-30,0.968198863790366,2.3767313075043e-69,0.625703039605466,7.78710303495674e-33
Ucp2,-0.261158737655828,4.82970434671039e-09,0.668783324231871,2.09908404518339e-38,0.315333321971806,2.96623454657751e-12
Vwa1,-1.17063036106925,0,-0.286887800318127,9.25510810938448e-26,-0.330206679057233,1.52034798445511e-30
Wasf2,0.25402063776611,4.71218266609286e-05,0.35779182316022,1.97489219867385e-22,0.391548089320314,1.01697145699057e-33
Xaf1,-0.356274902033767,8.07372079277011e-12,0.42308004580963,8.16690667868449e-07,0.334285651161169,8.05338728790839e-10
Zbtb16,-0.293790243158592,8.23963926522137e-10,1.33785226222254,1.78199510710008e-77,1.70532155281235,6.85418149776643e-212
Zfp36,-1.2272144202742,3.71946726028666e-65,0.509590249513495,7.98598784053122e-19,0.372135329286555,9.10301138571583e-15
Zfp422,-0.422553151984278,5.27001868029706e-11,0.379630042829935,0.0008802098070511,0.32406640366532,0.0017031030524408
Zhx3,0.677660225306087,1.87710966470801e-11,0.454192882350218,1.36901661572331e-05,0.769383627781661,5.98769893390289e-36
