"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccdc71l",5.35253230668223e-14,-0.0588749389025993,0.096,0.144,9.77479449846308e-10
"S100a10",5.38819621459837e-14,-0.0810981146783806,0.207,0.257,9.83992392709954e-10
"Prdm10",5.4799810546076e-14,0.0611373734557122,0.12,0.09,1.00075414019244e-09
"Plk2",5.48587354939859e-14,0.0894497279095912,0.492,0.474,1.00183022759117e-09
"Zfx",5.5313900338634e-14,0.0767153386456871,0.306,0.275,1.01014244798413e-09
"Rasa2",5.53684759070082e-14,0.0731914392807465,0.222,0.191,1.01113910701378e-09
"Ppp3cb",5.58572809699961e-14,0.075428980448787,0.279,0.25,1.02006566507407e-09
"Arel1",5.62767346858142e-14,0.0560204949115604,0.114,0.083,1.02772572883234e-09
"Tmem9b",5.79691220848102e-14,-0.0716813431173562,0.2,0.268,1.0586321075128e-09
"Tdrd7",5.88500224934542e-14,0.0709242346891764,0.225,0.183,1.07471911077546e-09
"Tnrc18",5.910062950861e-14,0.0781668280958256,0.388,0.358,1.07929569608624e-09
"Gipc1",5.99558620879422e-14,-0.0560570349626007,0.09,0.135,1.09491395345e-09
"S100a1",6.12357792857906e-14,-0.0798443723067481,0.349,0.421,1.11828780131711e-09
"Itprid2",6.16691666028036e-14,0.0805106521791052,0.337,0.305,1.1262023205004e-09
"Mtch2",6.22682676154485e-14,-0.0706010800865636,0.188,0.252,1.13714310319332e-09
"Mrpl34",6.39924168781499e-14,-0.0711781557380891,0.192,0.259,1.16862951702877e-09
"2510002D24Rik",6.59417162298009e-14,-0.0714870036402728,0.188,0.25,1.20422762178862e-09
"Ndufb3",6.77848757627943e-14,-0.0774565468143528,0.42,0.506,1.23788740118015e-09
"Mau2",6.77926721311414e-14,0.0700871093092452,0.221,0.188,1.2380297784589e-09
"Cdc37l1",7.36030070581755e-14,0.0790463020991058,0.441,0.415,1.3441381148964e-09
"Maea",7.49866916784135e-14,-0.0730859997063763,0.236,0.309,1.36940696343119e-09
"Drg2",7.51520587157517e-14,-0.0516303115121538,0.064,0.106,1.37242689626706e-09
"Nsd2",7.68669891590489e-14,0.0704193540490256,0.208,0.173,1.40374495602255e-09
"Atp6ap1",7.82417448316154e-14,-0.0734538277950815,0.252,0.326,1.42885074411496e-09
"Fmo1",8.38729251277649e-14,-0.075213152306104,0.184,0.239,1.53168735868324e-09
"Rps6",8.50542780315409e-14,-0.0506144601688598,0.871,0.911,1.553261225412e-09
"Ppp5c",8.81698339300423e-14,-0.0617391279437951,0.119,0.172,1.61015750723043e-09
"Prpsap1",8.94716669344957e-14,-0.0665899487500099,0.147,0.207,1.63393158155776e-09
"Meaf6",9.32210045261067e-14,-0.0651753468722363,0.135,0.191,1.70240198465576e-09
"Alkbh6",9.73813358748767e-14,-0.054295157858383,0.081,0.124,1.778377955747e-09
"Akt1",1.01047222446222e-13,-0.0723727128707444,0.225,0.297,1.84532437631291e-09
"Usp38",1.01557286730687e-13,0.0544549755532142,0.111,0.08,1.8546391702758e-09
"Fancl",1.01691025054454e-13,0.0546643809121395,0.102,0.075,1.85708149954443e-09
"Cox20",1.02743053404282e-13,-0.0669868633438235,0.15,0.209,1.87629364126899e-09
"Cox7b",1.04923891090338e-13,-0.076712493635165,0.448,0.529,1.91612009909176e-09
"Tcn2",1.06872964534804e-13,-0.0770618332203105,0.297,0.372,1.95171407833459e-09
"Ssr3",1.12374653413011e-13,-0.0756370734192817,0.311,0.386,2.0521859206284e-09
"Ppwd1",1.15608195982692e-13,-0.0640652105030629,0.12,0.171,2.11123687503592e-09
"Mrpl33",1.17415225123077e-13,-0.0755191537828771,0.262,0.336,2.14423684119762e-09
"Osbpl11",1.19094058015189e-13,0.0659364373302078,0.177,0.144,2.17489568747339e-09
"Zbtb10",1.19226424661278e-13,0.066375995530279,0.186,0.153,2.17731296716426e-09
"Prkar2a",1.22409661308453e-13,0.074460405419074,0.29,0.255,2.23544523481496e-09
"Cpsf6",1.25154140557186e-13,0.0744375487946509,0.311,0.279,2.28556491485533e-09
"Tmlhe",1.27281975957227e-13,0.0617793211231391,0.124,0.093,2.32442344493087e-09
"Cyp2d22",1.27338786042458e-13,-0.0775282877554341,0.308,0.381,2.32546091070736e-09
"Wbp2",1.30322211875145e-13,-0.0729816640543576,0.245,0.315,2.37994423326389e-09
"Adarb1",1.30579022559453e-13,0.0609342936937436,0.126,0.099,2.38463410998072e-09
"Kif26a",1.31030919781839e-13,0.0777011615889663,0.403,0.377,2.39288665705594e-09
"Snapin",1.3165998317894e-13,-0.0625552627002476,0.131,0.181,2.40437461281381e-09
"Pdcd6ip",1.3410355218035e-13,0.0767928726625878,0.407,0.379,2.44899906991756e-09
"Sp100",1.37656272425506e-13,0.0750118628490143,0.628,0.621,2.51387884703459e-09
"Yaf2",1.3901497198092e-13,-0.0765745300065697,0.305,0.386,2.53869141831556e-09
"Lurap1",1.39866649408247e-13,-0.0567328561977012,0.093,0.139,2.5542447514934e-09
"Clstn1",1.39991709179052e-13,0.0772140680504924,0.453,0.432,2.55652859302784e-09
"Dpm2",1.44474773134823e-13,-0.0612253628139806,0.12,0.171,2.63839830698813e-09
"Entr1",1.45187544147969e-13,-0.0619508724928669,0.128,0.183,2.65141493123022e-09
"Cpt1a",1.50211901577018e-13,0.0772486358616941,0.424,0.397,2.7431697465995e-09
"Pdzd2",1.50277374227754e-13,0.0809748124838,0.384,0.358,2.74436540814725e-09
"Rac1",1.51874390944492e-13,-0.0593699715883118,0.756,0.822,2.77353012742831e-09
