"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Anxa3",1.23564547423492e-34,-0.298125970450099,0.762,0.926,2.25653576504781e-30
"Id1",1.870076736371e-34,-0.286984757449819,0.84,0.96,3.41513413596071e-30
"Utrn",8.77858757579784e-33,0.189837607904975,0.972,0.96,1.6031456630922e-28
"Pkp4",8.87282139677177e-32,0.349194149849878,0.795,0.65,1.62035464347846e-27
"Rpl21",1.61283487501697e-31,-0.191740037783251,0.925,0.993,2.945359048756e-27
"Rps7",2.09718864387273e-31,-0.220025021671641,0.901,0.972,3.82988590144039e-27
"Mecom",7.99535459630484e-31,0.256271788696926,0.93,0.914,1.46011165637719e-26
"Ier2",2.66898491428875e-30,-0.395664781858134,0.455,0.725,4.87410025047412e-26
"mt-Nd2",2.96586331050081e-30,-0.148879628040027,0.972,0.992,5.41625957763658e-26
"Pfdn5",2.97601480342169e-30,-0.301549002505518,0.691,0.908,5.4347982340087e-26
"Ramp2",3.34369910536834e-30,-0.233366701891298,0.901,0.962,6.10626330622367e-26
"Rps24",4.97815197127638e-30,-0.164159294579042,0.957,0.993,9.09110112994492e-26
"Ftl1",4.97872052227977e-30,-0.2422901583577,0.843,0.966,9.09213941778732e-26
"Insr",5.96327629204381e-30,0.346916332242777,0.803,0.7,1.08901351645304e-25
"Cst3",7.06072963725081e-30,-0.239110499271737,0.877,0.977,1.28943044635474e-25
"Edn1",9.29394011324828e-30,-0.514864863168175,0.334,0.601,1.6972593434814e-25
"Gnas",1.03024386636597e-29,-0.16343233432345,0.947,0.989,1.88143134875753e-25
"Eif1",1.66950084441608e-29,-0.188254260831168,0.925,0.982,3.04884244207264e-25
"Klf12",1.89158524514973e-29,0.312713411630026,0.846,0.816,3.45441297469244e-25
"Rpl9",1.9718643793166e-29,-0.170107261164042,0.949,0.99,3.60101872950797e-25
"Pard3",2.4066848748266e-29,0.372997085242574,0.685,0.54,4.39508791840834e-25
"mt-Atp8",5.48177314584397e-29,-0.361427808534597,0.425,0.732,1.00108141189403e-24
"Isyna1",7.38259871984136e-29,-0.364814625498026,0.342,0.642,1.34821017821743e-24
"Tsc22d1",8.77108968335516e-29,-0.19581670233371,0.925,0.982,1.60177639797432e-24
"Rhoc",1.06195991508941e-28,-0.356775055928469,0.509,0.776,1.93935119693627e-24
"Bc1",1.06554807218492e-28,-0.477260908963731,0.23,0.484,1.9459038894241e-24
"Tubb4b",1.22985371183293e-28,-0.376982411625334,0.385,0.683,2.24595884854929e-24
"Cnbp",1.26639576665743e-28,-0.31519817187427,0.606,0.851,2.31269194906979e-24
"Rpl27a",1.59342397952221e-28,-0.16633386659228,0.943,0.994,2.90991087140346e-24
"Jun",1.9966668300159e-28,-0.381574951895961,0.665,0.877,3.64631296497504e-24
"Arhgef12",2.31456876090125e-28,0.289838710629434,0.856,0.778,4.22686547115786e-24
"Myl12a",3.66750151068692e-28,-0.261151144343253,0.792,0.936,6.69759125881645e-24
"Sumo2",5.20081410321917e-28,-0.288590499968432,0.682,0.892,9.49772671529885e-24
"Selenok",5.24889242717328e-28,-0.278739384795325,0.7,0.907,9.58552735050385e-24
"Adamts9",5.25858537521503e-28,0.502249742537826,0.315,0.106,9.60322861221769e-24
"Rnaset2a",5.55192751405993e-28,-0.357283427256962,0.306,0.605,1.01389300261762e-23
"Clic1",6.00191586748946e-28,-0.307789906295811,0.646,0.88,1.09606987572093e-23
"Dach1",6.56551875013179e-28,0.377944218489326,0.716,0.589,1.19899503414907e-23
"Alas1",1.03319454335792e-27,-0.337937154950372,0.595,0.823,1.88681987508023e-23
"Apbb2",1.04503581097102e-27,0.297224715136872,0.846,0.796,1.90844439799528e-23
"Pdgfb",1.38848857899709e-27,-0.267350038223056,0.78,0.925,2.53565784296448e-23
"Tubb2a",1.75666592615364e-27,-0.371107012606699,0.297,0.575,3.20802331434178e-23
"Rpl13",2.86147747322558e-27,-0.146345462711005,0.963,0.993,5.22563016160456e-23
"Tpt1",3.12740021289956e-27,-0.120570753905468,0.977,0.996,5.71125826879717e-23
"Rpl7",6.33282498754152e-27,-0.207207933388392,0.89,0.976,1.15650049922483e-22
"Rpl3",6.39575653864016e-27,-0.227455932629317,0.845,0.967,1.16799305908647e-22
"Eif4a1",7.85575369839326e-27,-0.346589812150324,0.385,0.7,1.43461774040058e-22
"Rpl18",1.21068780260162e-26,-0.209219677203411,0.879,0.979,2.21095806511108e-22
"Rps8",1.22187533135784e-26,-0.134766140531419,0.964,0.999,2.23138873012568e-22
"Ier5",1.58378267714963e-26,-0.352985951575741,0.376,0.653,2.89230392501066e-22
"Cfl1",2.25216674061487e-26,-0.254353638894027,0.775,0.938,4.11290690171088e-22
"Rps20",2.52997833743407e-26,-0.190730911736924,0.911,0.979,4.6202464398221e-22
"Rplp0",3.3489320690572e-26,-0.254274861662721,0.787,0.941,6.11581974451227e-22
"Btg3",5.12356393117067e-26,-0.345748469054055,0.334,0.623,9.35665245110388e-22
"Exoc6b",5.30673709691677e-26,0.315914341343548,0.792,0.703,9.6911632863894e-22
"Ywhah",5.53837399609688e-26,-0.325428388649728,0.508,0.773,1.01141785916721e-21
"Aldh2",5.88445505808145e-26,-0.294949858616476,0.665,0.863,1.07461918270683e-21
"Rpl39",7.44192768797516e-26,-0.225894543664514,0.846,0.969,1.35904483437802e-21
"Rpl36",7.68520809083536e-26,-0.210497669645226,0.871,0.975,1.40347270154835e-21
"Eef1a1",1.01923754109821e-25,-0.148116093789546,0.95,0.994,1.86133159755355e-21
"Ebf1",1.26807442793574e-25,0.231568390808091,0.933,0.918,2.31575752029624e-21
"H2-D1",3.23800150028323e-25,-0.218240343656265,0.871,0.959,5.91323833981724e-21
"Nfkbia",3.65842728775608e-25,-0.240306215346379,0.826,0.952,6.68101991290015e-21
"Selenof",4.63045096700322e-25,-0.291239907037253,0.627,0.851,8.45612955594128e-21
"Msi2",4.81948817029243e-25,0.296583706760252,0.814,0.735,8.80134929658803e-21
"Rpl11",5.07442536441285e-25,-0.192456055423954,0.904,0.967,9.26691560049074e-21
"Mllt3",6.31719207624627e-25,0.357635342403209,0.675,0.544,1.15364561696409e-20
"Gpx4",1.0427424680562e-24,-0.279967634872373,0.691,0.878,1.90425629516423e-20
"Rpl30",1.43479307545026e-24,-0.189855419439373,0.904,0.979,2.62021911438727e-20
"Tmem59",2.10365262937484e-24,-0.265278552653486,0.688,0.897,3.84169043176433e-20
"Gsta4",2.24671076310166e-24,-0.369469245250397,0.404,0.666,4.10294319557626e-20
"H3f3a",2.52516852863635e-24,-0.184137321534812,0.905,0.97,4.6114627669957e-20
"Lncpint",3.00539300218868e-24,0.358669120128394,0.559,0.381,5.48844870059697e-20
"Rpl17",3.08384775959979e-24,-0.17922244074601,0.907,0.986,5.63172277858114e-20
"Rps10",3.70501279415454e-24,-0.185244802683719,0.904,0.982,6.76609436468502e-20
"Rps11",3.76355785590085e-24,-0.236756080571625,0.821,0.953,6.87300935644613e-20
"Dstn",5.88827497215744e-24,-0.266563431290869,0.711,0.902,1.07531677541539e-19
"Rps19",6.51040686766677e-24,-0.190214642946781,0.898,0.979,1.18893050217331e-19
"Cav2",1.01890816773815e-23,-0.306513246598431,0.543,0.776,1.86073009592341e-19
"H2afz",1.26678639940763e-23,-0.312552930683632,0.516,0.765,2.31340532259822e-19
"Rpl19",1.3461186902117e-23,-0.167375234652857,0.921,0.987,2.4582819520646e-19
"Cox7a2l",2.08137684928782e-23,-0.292788598968835,0.592,0.814,3.80101040216942e-19
"Bnip3l",2.4019077863419e-23,-0.275284402619157,0.663,0.868,4.38636399941758e-19
"Atp6v0e",2.87252770468337e-23,-0.29910446696144,0.502,0.754,5.24581009429277e-19
"Rps26",2.90920010532672e-23,-0.231604339346791,0.809,0.949,5.31278123234766e-19
"Ddx5",2.90945301865564e-23,-0.17294023352491,0.908,0.983,5.31324310266893e-19
"Gabarapl2",3.5980120678958e-23,-0.288576185206497,0.593,0.816,6.57068963839132e-19
"Foxp1",6.76615264481676e-23,0.195658012539392,0.925,0.946,1.23563479599644e-18
"Slc9a3r2",7.73990147080724e-23,-0.190189307651562,0.901,0.975,1.41346080659882e-18
"Btf3",9.07592120442414e-23,-0.256101357218424,0.705,0.884,1.65744473035194e-18
"Atrnl1",9.28215741078775e-23,0.358213065258938,0.54,0.367,1.69510758635806e-18
"Rhob",1.02668945549645e-22,-0.289672764551859,0.677,0.858,1.87494028362762e-18
"Rbfox2",1.04152340257726e-22,0.321284403004897,0.686,0.557,1.9020300377866e-18
"Gm42418",1.08422200426194e-22,0.0826493916502846,1,1,1.98000622418315e-18
"Rps9",1.22131610621398e-22,-0.179029525661242,0.899,0.984,2.23036747316797e-18
"Rps23",1.35253107717145e-22,-0.16259453544006,0.927,0.983,2.46999225313051e-18
"Tle5",1.43003619877849e-22,-0.282999857676498,0.615,0.833,2.61153210620927e-18
"Srp14",2.40104060329909e-22,-0.292949497619396,0.55,0.776,4.3847803497448e-18
"mt-Co2",3.00736155817273e-22,-0.108693362577805,0.98,0.997,5.49204367753503e-18
"Rps3",3.04673068758655e-22,-0.192094774209159,0.882,0.972,5.56393958167056e-18
"Arpc3",3.36626527719612e-22,-0.237682115738623,0.764,0.929,6.14747364921556e-18
"Rpl24",3.39982222394807e-22,-0.188477298397495,0.885,0.972,6.20875534537397e-18
"Lrba",4.16415772275217e-22,0.337669238169942,0.565,0.394,7.60458483329001e-18
"Chchd2",4.29158122857354e-22,-0.175167552926497,0.899,0.98,7.83728563962099e-18
"Ptma",4.74223678009242e-22,-0.120048071779327,0.98,0.993,8.66027280780478e-18
"Gm11808",4.86618052273725e-22,-0.288528245322309,0.138,0.388,8.88661887062277e-18
"Prex2",5.06134193850006e-22,0.23584000574618,0.89,0.871,9.24302264808881e-18
"Cdkn1a",6.42341139950614e-22,-0.3331166445569,0.483,0.742,1.17304338977781e-17
"Rps16",9.54358849873568e-22,-0.153521535792288,0.932,0.99,1.74285013163911e-17
"Etv6",9.88681237096042e-22,0.336508379653518,0.568,0.407,1.80552967518479e-17
"Zeb1",4.77417591335289e-21,0.302999035467288,0.742,0.633,8.71860005296505e-17
"Dock4",5.65964329939794e-21,0.286560093869801,0.795,0.722,1.03356405933605e-16
