"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd81",3.3039182466804e-18,-0.202960844994736,0.828,0.935,6.03361550208775e-14
"Arid1b",3.32993633779161e-18,0.300397813747022,0.525,0.339,6.08112974007504e-14
"Atp5j2",3.63384193532726e-18,-0.255220399699331,0.568,0.803,6.63612214229465e-14
"Arf1",3.79942048632353e-18,-0.248465079830874,0.604,0.816,6.93850169212402e-14
"Herpud1",4.10191394750175e-18,-0.281896468123062,0.287,0.528,7.4909152509277e-14
"Crip1",4.31360327408925e-18,-0.269703805147458,0.682,0.84,7.87750229914179e-14
"Cracr2b",4.33077477128507e-18,-0.285623697934667,0.329,0.579,7.90886088732079e-14
"Ablim1",5.49874352261332e-18,0.167394727617163,0.941,0.95,1.00418054209964e-13
"Cdk8",5.75154804460605e-18,-0.165381892393788,0.904,0.99,1.05034770390596e-13
"Cgnl1",5.77984060838453e-18,0.229995306750275,0.845,0.79,1.05551449190318e-13
"Prdx1",5.86544129781241e-18,-0.224997088034394,0.738,0.901,1.0711468898065e-13
"U2af1",6.02962576522919e-18,-0.271593853292271,0.306,0.561,1.10113025724615e-13
"Rpl26",6.11596856673427e-18,-0.139543865916764,0.943,0.982,1.11689817965701e-13
"Chmp5",7.51970477431278e-18,-0.270461561255475,0.488,0.717,1.373248485885e-13
"Kansl1l",8.0057652466928e-18,0.310963723952863,0.554,0.415,1.46201284935104e-13
"Cox4i1",8.58568733223723e-18,-0.189525844285069,0.837,0.953,1.56791822061316e-13
"Rer1",8.67999427977371e-18,-0.276972967411408,0.298,0.551,1.58514055537228e-13
"Arf6",8.78364613106376e-18,-0.274434318566959,0.23,0.463,1.60406945645486e-13
"Slc2a1",8.82560709992107e-18,-0.111790490162929,0.969,0.992,1.61173236858759e-13
"Eif3f",9.86710776799346e-18,-0.250294736205884,0.61,0.824,1.80193122059097e-13
"Cox6c",1.01044300433126e-17,-0.225399238368604,0.714,0.892,1.84527101450974e-13
"Myl6",1.25071095086531e-17,-0.115864558829392,0.967,0.996,2.28404833847022e-13
"Nbea",1.40396180030107e-17,0.314739565451911,0.486,0.323,2.56391503970982e-13
"Gabarap",1.7288409252798e-17,-0.240529907760657,0.62,0.836,3.15720929774596e-13
"Atp5k",1.89009566893467e-17,-0.271841358311306,0.435,0.671,3.4516927106085e-13
"Macf1",2.02198049961078e-17,0.135703468670357,0.958,0.979,3.69254078838921e-13
"Elmo1",2.25346605897919e-17,0.283457243689401,0.688,0.593,4.1152797169078e-13
"S1pr1",2.71300368328495e-17,-0.190924484445889,0.846,0.936,4.95448732641498e-13
"Igf1r",2.74397116010195e-17,0.180120194042362,0.957,0.955,5.01104013257817e-13
"Sorbs2os",3.29592818480546e-17,0.291033230349537,0.376,0.21,6.01902405109174e-13
"Cd151",3.42799067840389e-17,-0.271077624769464,0.413,0.674,6.26019657690118e-13
"Gimap1",4.7987570356343e-17,-0.27686397704226,0.37,0.603,8.76349009847535e-13
"Psd3",4.97869576724633e-17,0.295330926316024,0.578,0.455,9.09209421014525e-13
"Rps27a",5.18694833446195e-17,-0.139913764841506,0.932,0.984,9.47240504839441e-13
"Mbd5",5.30039124590724e-17,0.291401915936301,0.557,0.422,9.67957449327581e-13
"Ndufa3",5.53620934801486e-17,-0.274635515998438,0.357,0.599,1.01102255113447e-12
"Tmsb4x",5.88188151690458e-17,-0.0739542805116606,0.994,0.997,1.07414920261711e-12
"Immp2l",6.5095597309835e-17,0.333419471267766,0.32,0.163,1.18877579807221e-12
"Sem1",6.65470223909231e-17,-0.228298751559313,0.669,0.856,1.21528172290304e-12
"Srsf7",8.80108499797837e-17,-0.26599146243741,0.314,0.555,1.60725414233081e-12
"Hspa1a",1.02906731852646e-16,-0.364101025685005,0.332,0.564,1.87928273709301e-12
